电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,Column1
您的建筑重几何，福斯特先生？,47000,465,6787,450,697,科技人文,暂无评分,评分人数不足,,0,13,简介：「每一件事情都能激發我的靈感，有時候我感覺我能看到別人看不到的東西 。」Norman Foster。英國建築師 Norman Forster 為高技派代表人物，曾提出建造世界第一大廈的前衛觀點，是當代建築中最具遠見的思想家，這部電影即紀錄 Norman Forster 的生平，以及他致力用設計讓生活更多采多姿的堅定追求。本片探 Norman Foster 的代表作，及其創作靈感來源，如中國北京首都國際機場、柏林國會大廈修復工程、環保概念為出發點的紐約赫斯特大樓，以及位於法國擁有世界上最高橋樑之稱的米洛高架橋。影片也找來曾獲普立茲克建築獎 Richard Rogers、藝術家 Ani...,
你瞧：现代世界的幻想,55000,896,2780,308,100,科技人文,暂无评分,评分人数不足,,0,5,简介：全片由10个小篇章构成，从赫尔佐格的视角，针对人们极为熟悉的电脑科技和网络世界提出了一个问题：网络对人类进化而言究竟是福还是祸？影片于今年年初的圣丹斯电影节首映，北美定档8月19日。,
吴哥窟-高棉庙宇,61000,303,3071,115,325,旅行人文社会,暂无评分,评分人数不足,,0,0,简介：吴哥窟掩映在柬埔寨绿树成荫的丛林中，是全世界最受游客欢迎的寺庙群之一。这些今天已经成为世界遗产一部分的寺庙从高棉帝国的黄金时代起便骄傲地巍然屹立，直至今天。如果这些石头会说话……我们在寺庙的遗迹中拍摄，仔细查看着这些引人入胜的建筑杰作，它们像时间胶囊一样，永远保留着高棉帝国的精髓。这些遗迹能经得起岁月的考验吗？庙堂、雕像和墙壁等都被大自然慢慢入侵，巨大的树根缠绕上遗迹，将它们变成树木生长的摇篮。是谁将这些无与伦比的建筑留下，任其腐朽？曾经人口达数百万的王国突然消失，留下一个震惊世界的未解之谜。,
哈雷·本森：一拍成名,20000,38,1160,43,92,历史社会,暂无评分,评分人数不足,,0,2,简介：记录多产的摄影师的杰出的职业生涯最初与甲壳虫乐队一举成名,被分配给掩盖他们的首次访问美国。他的丰富履历包括温斯顿·丘吉尔的标志性图像
世界自然遗产：哥斯达黎加,24000,67,2278,47,161,自然动物,暂无评分,评分人数不足,,0,0,简介：观看纪录片《世界自然遗产地瓜纳卡斯特》，从太平洋沿岸穿越红树林，到达哥斯达黎加的热带雨林，看原始森林在眼前呈现，认识鬣鳞蜥、毒蛇及僧帽猴。我们的哥斯达黎加热带雨林探险之旅，最精彩之处就是认识世界上最后一个本地原始种族。马勒库印第安人几百年来在雨林中与自然和谐相处，将他们的传统保留至今。1999年，联合国科教文组织将瓜纳卡斯特列入世界文化遗产地，该地包括圣罗萨国家公园、瓜纳卡斯特以及林孔德拉别哈。与我们一起探索世界上最后的天堂——世界自然遗产地瓜纳卡斯特热带雨林吧！全片3D精彩呈现！,
世界自然遗产：哥伦比亚,35000,363,2128,119,119,自然,暂无评分,评分人数不足,,0,0,简介：联合国科教文组织马尔佩洛自然公园位于东太平洋，与哥伦比亚海岸大约相距500公里。马尔佩洛位于海上走廊，走廊连接着加拉帕戈斯群岛、科伊瓦岛、科科岛等世界自然文化遗产地。马尔佩洛岛面积约有35公顷，是一个自然保护区的中心。咋眼看去，这个占地面积8500平方千米的自然保护区并不像自然保护区。除此之外还有十座草垛般大小的小岛，在茫茫东太平洋中充当唯一的地标。加入我们，与我们一起探索太平洋吧！让我们一起冒险，领略美妙的风光、绚丽的色彩。全部3D震撼呈现！,
在家里,95000,74,5891,73,483,人文社会医疗,暂无评分,评分人数不足,,0,0,简介：31岁的乔安娜与她的男朋友在网络上认识的，乔安娜患有家族疾病，她为自己拍摄了一部电影。,
指挥,15000,62,1618,173,284,人文社会,暂无评分,评分人数不足,,0,2,简介：这个非传统的电影是一个对于特奥多尔的观察，他是最优秀的指挥家之一。莫扎特,斯特拉文斯基
通往火星,38000,506,1790,106,110,科技宇宙,暂无评分,评分人数不足,,0,0,简介：NASA北极探险设计的地球上第一个火星旅行，成为长达两年的奥德赛史诗般的人类冒险和生存之旅。,
勇敢的心：维拉斯克兹的故事,204000,2100,82000,1551,1967,人文,9.8,120,,2,38,简介：关于Lizzie Velasquez生活的纪录片，展示了她被欺凌的一面，以及她激励和鼓舞一个更积极健康的网络环境。,
摇滚不死：杰森贝克传奇,28000,348,2615,476,476,人文社会,暂无评分,评分人数不足,,0,13,简介：一个关于不平凡一生的纪录片——著名的音乐神童与路格里克氏病斗争了22年。当医生诊断19岁的摇滚巨星杰森本科患病时，说他将永远不能再搞音乐了。然而22年后，虽然不能移动、不能说话，杰森仍然活着，仍然用眼睛在做音乐。,
隐秘的世界-亡者之穴,68000,707,2919,131,168,科技探险,暂无评分,评分人数不足,,0,4,简介：在玛雅时代，尤卡坦半岛天然形成且深入地表的灰岩坑是那里的人们获得饮用水的唯一来源。但在这个先进文明的神话传说里，这些水潭和洞穴同时还是“西瓦尔巴”——地狱的入口。所有的亡灵都必须经由西瓦尔巴，并在那儿等待被召唤上天堂。人们也在那儿用日常的物品，乃至血淋淋的活人献祭来祭祀神明——这些祭祀行为的遗迹至今仍然原地保存在水下，已经超过千年。摄制组和四名专业的科研潜水员来到尤卡坦，这些专家能挤进几乎只和自己身体一样大小的缝隙和孔洞，他们能胜任即使最富经验的潜水员都要尽最大努力才能完成的潜水任务。,
女孩冲冲冲,1254000,22000,14000,3581,6332,搞笑青春,8,170,, 全36集,0,91,简介：这部校园青春搞笑喜剧以“向周星驰敬礼先”为创作理念，核心就是“致敬”二字，糅合周星驰48部电影中的经典台词和喜剧场景，发扬和继承喜剧之王的无厘头风格，集搞怪幽默与动人情感于一身，结合青春、时尚、幽默的大学校园生活，打造一幕幕青春时尚又感人至深的校园爱情故事，让你在轻松愉悦之余重温温馨的大学生活。剧中主要人物小乔、孙权、黄盖、蔡文姬等均将周氏台词、表情、身体语言等“武装到牙齿”。
面具之内,425000,4088,45000,4908,3521,人文社会,9.6,332,,8,91,简介：探索我们文化对男子气概的狭隘定义是怎样伤害我们的男孩，男人和社会的，并揭示我们可以为此做些什么。,
探险大沼泽 -水晶河海牛,14000,49,534,27,51,自然动物,暂无评分,评分人数不足,,0,1,简介：佛罗里达大沼泽把我们引入一个奇异的世界。平静无垠的海面孕育着大量美丽的动植物。丰富的鱼类为各种鸟类以及沼泽霸主短吻鳄提供食物。短吻鳄是庞大、古老的爬行动物，与当地居民为邻。不过，此次旅程的主要目的是寻找佛罗里达海牛，它们被誉为世上最宁静温和的动物。每年，海牛都会溯河洄游至墨西哥湾。只有在温暖的春天，只有在这里，我们才能近距离见识这类较为罕见而又濒临灭绝的物种。它们十分优雅地摆动端庄的身体，仿佛水下芭蕾舞者。阳光神奇的光效让蓝色的海水如幕布一般，并让海底熠熠生辉。全片3D奇妙呈现。,
蝴蝶飞飞,810000,75000,8890,5538,1606,青春情感,暂无评分,评分人数不足,, 全24集,0,30,简介：活泼善良的女孩钟小印（杨雪 饰）在大学毕业的当天，突如其来的病魔侵袭了与她相依为命的妈妈。钟小印急匆匆赶到医院，在慌乱中不小心踩到了蓝冬晨（佟大为 饰），因为没有听到小印的道歉，自负傲慢的蓝冬晨要她给他擦鞋，很有个性的小印却把擦鞋的一块钱扔给蓝后离去。妈妈昂贵的医药费使钟小印陷入困境，绝望中她向新任的院长求助，才发现院长就是刚和他发生冲突的蓝冬晨。蓝父是这家医院的董事长，蓝冬晨是拥有数亿家产的富家子弟，虽然表面冷酷霸道，但内心颇为善良，在他与钟小印相撞对视的一刻，他就莫名其妙地喜欢上了她……
梅花档案,7643000,142000,112000,4155,27000,悬疑刑侦,9.2,285,, 全22集,5,89,简介：建国之初，古老的中华大地一派喜气，然而欢愉的背后仍有冰冷的暗流涌动。在四川省渝州，曾经称霸一时的土匪头子白敬斋被人民政府正法，而他曾居住过的老宅闹鬼的传闻则越传越凶。龙飞是一名来自北京的青年，他在渝州当地档案馆做文员，而档案馆的宿舍正是征用自白敬斋的老宅。由于所有人都怕鬼，因此龙飞只得一个人住进宿舍，却接连遭遇多起奇怪灵异的事件。不久，档案馆发生一起命案，刑警队长肖克由此入驻档案馆调查。在这一过程中，肖克和龙飞不仅感知到自己身上的异样，更偶然知晓了一个名为“梅花党”的特务组织的秘密……本片由张宝瑞的...
最后的海洋,30000,173,2219,76,171,人文社会动物自然,暂无评分,评分人数不足,,0,1,简介：南极罗斯海拥有地球仅剩的原始海洋生态，科学家形容这里是人类最后的「生存实验室」。为了满足饕客与日俱增的需求，商业渔业争先恐后来到这个深入南极洲的大海湾淘金，疯狂猎捕珍贵深海鱼——圆鳕，急速戕害生态平衡，让地球陷入空前危机。捍卫最后的蓝海刻不容缓，这不只是生态学家和保育人士的功课，更是全人类必须齐心协力，携手克服的生命考验！,
游戏王剧场版 光之金字塔,1545000,18000,891000,1822,927,智斗战斗漫画改,9.6,968,, 全1话,2,180,简介：一直想要打败游戏重新夺回三张神之卡的海马濑人，为了找到能打败游戏的卡而去找贝卡斯，并且从贝卡斯那里了解到贝卡斯他确实有那样的卡片。于是海马用三张青眼白龙做赌注向贝卡斯挑战赌牌决斗并战胜了他，按照贝卡斯的预想，海马应该只从贝卡斯给他提供的牌组里拿走青眼光龙一张卡，但海马却拿走了两张卡，按照海马的作风，他是不会对贝卡斯牌组里的其他卡片感兴趣的，于是贝卡斯立刻就感到事情不妙，并想阻止海马，却无济于事。另一方面，游戏在博物馆参观一批刚从埃及运回来的文物时，发现了一个与自己的千年积木相似的水晶做的金字塔，据说...
浪迹天涯,845000,25000,4132,946,1110,武侠古装情感,9.8,104,, 全30集,0,36,简介：《浪迹天涯》讲述的是江南才子秦涧泉游历天下
好想好想谈恋爱,548000,103000,9098,915,2622,情感,暂无评分,评分人数不足,, 全32集,0,23,简介：谭艾琳（蒋雯丽 饰）、黎明朗（那英 饰）、毛纳（梁静 饰）、陶春（罗海琼 饰）总是相约在谭艾琳的小书吧谈论男人，各种各样的男人。谭艾琳是个女人中的女人，平日偶有写作，深明爱情技巧的她在遇上伍岳峰后却彻底栽了。经历过离婚的伍岳峰不想再次踏入婚姻旅途，谭艾琳在几次挣扎往复后几乎要绝望了。黎明朗是个大大咧咧的女权主义者，已经身为电视台高层的她叱咤风云，却总是吸引来一些小男生，不屈服强权的她却不得不迁就小男友的所有喜好。毛纳是个独立时尚的服装设计师，是四个人中最洒脱不羁的一个，与不同男人分分合合从不带一丝离伤，...
像风一样离去,323000,5330,2101,1391,463,情感,暂无评分,评分人数不足,, 全20集,0,2,简介：范裔风（聂远 饰）与乔可欣（霍思燕 饰）自幼青梅竹马，两小无猜，随着范父与乔母的相继离世，两个情窦初开的年轻人发誓永不分离。丧偶的乔父（章申 饰）结识女明星沈美凤（贾妮 饰），对她一见倾心，不久将其迎娶家中，沈还将前夫的一双儿女天磊（黄觉 饰）和天丽（饶敏莉 饰）带进乔家。从此，原先平静的家庭暗流涌动。后母的到来很快显示了她恶毒的用心，她不仅打范家的主意，还把可欣与裔风赴美留学的计划也搅和了。裔风独自走了，送别的机场留下了可欣的无限眷恋。几年后，裔风回国，可欣做好了出国留学的准备，此时的天磊爱上了她，但可...
日落日出,11000,1,31,3,4,,暂无评分,评分人数不足,, 全20集,0,0,简介：孤寡大半辈子的丁奶奶含辛茹苦拉扯大的两个独生子如龙、如虎都已过不惑之年。忠厚、善良又有些软弱的建筑工人如虎，为了老母和三个孩子，在妻子死后多年，依然孤身一人照顾全家。直到遇见进城打工的善良女子月菊，压抑多年的情感才又复苏，丁奶奶却以死相逼，不愿孙儿孙女有后妈。另一边，身为处长的如龙春风得意，却不愿照顾老母亲，丁奶奶愤怒之下，喝下了敌敌畏……如虎为治疗已成植物人的母亲耗尽了积蓄，而如龙也费尽心机地想甩掉治病的无底洞，一个偶然的机会促使他鬼使神差地偷走了一张空白的死亡证明！办丧事之时，“已被证明死亡”的...
一代枭雄,8123000,201000,34000,3839,13000,励志年代,9.1,398,, 全44集,1,89,简介：20世纪20年代，留洋归来的何辅堂（孙红雷 饰）回到家乡陕西风雷镇，谁知适逢父亲被贪婪凶狠的团总魏正先（巍子 饰）和地主刘庆福合谋害死。在此之后，辅堂忍辱负重，做了刘庆福的上门女婿，他奉命私运烟土被军方查缴，随即借助对方之手除掉了仇人刘庆福。魏正先察觉不妙，已先行逃脱。然而何已从此踏入充满凶险的枭雄人生，原配刘二泉与之心生猜忌，在乱世中纵横的魏时刻图谋复仇。土匪、军阀、红军，各方势力交错的中心，何更需小心周旋，而与程立雪（陈数 饰）之间缠绵无奈的情感纠葛也让这位乱世枭雄的人生平添了几分暖色。纷繁乱世，一个男...
交通队的故事,551000,4612,5488,2823,1483,刑侦,暂无评分,评分人数不足,, 全28集,0,3,简介：讲述五十几个与交通安全有关的小故事，所有故事都取材于真实事例，同时塑造出一批从事交通事故处理工作的交警形象。
荣誉,597000,18000,3005,565,1009,刑侦,暂无评分,评分人数不足,, 全21集,0,19,简介：21集电视连续剧《荣誉》主要描写的是上世纪末的中国中原市，接连发生了一起又一起抢劫银行的案件。公安局局长郝刚引咎辞职，林敬东临危授命，走马上任中原市公安局局长，几经曲折，林敬东带领刑警们终于将抢劫银行的罪犯捉拿归案。这时，林敬东又发现抢劫银行案背后隐藏着一起更大的犯罪——非法集资诈骗案。而犯罪嫌疑人袁成武枪在警察布防之前逃亡美国。林敬东因另一桩公务来到美国，得知了袁成武的下落，警察的荣誉感促使林敬东接近并控制了袁成武，最终从心理上打垮了他，正是在这一系列警察与罪犯的较量中，林敬东维护了国家的利益和警察的荣誉。
强制执行,90000,760,491,313,559,刑侦,暂无评分,评分人数不足,, 全25集,0,7,简介：电视剧《强制执行》描写了法官的感情生活，真切表现了共和国法官们的 《强制执行》海报工作、生活和内心世界，塑造了一个忠于法律、司法为民、恪尽职守、爱岗敬业的共和国法官群像。全剧追求思想性、艺术性和观赏性的高度统一，是一部弘扬时代精神的主旋律电视剧。
水落石出2,914000,12000,2710,446,971,刑侦,暂无评分,评分人数不足,, 全21集,0,6,简介：东环市惊现枪杀重案，引起社会极大震动，是黑帮仇杀，还是政治谋杀，其背后隐藏怎样的真相。重案队长范刚临危授命，彻查此案。同时，一起普通的交通事故，目击者却宣称为蓄意谋杀，当重案队抓捕嫌疑人蒋四后，目击证人突然翻供，而蒋四也在公安局内神秘失踪，经过周密调查，本市最大的黑帮祥瑞集团孙氏兄弟浮出水面。正当案件一筹莫展之际，蒋四突然现身西环市。重案队纳净云，刘梦阳到达之际，蒋四却被孙氏兄弟的杀手二铁子灭口。并且，孙氏兄弟为了保护自己打击重案队，布下陷阱嫁祸纳净云使其含冤入狱。
粘豆包,399000,3743,1033,1026,359,情感,暂无评分,评分人数不足,, 全33集,0,1,简介：该剧讲述东北农村妇女白莲带着瘫痪的前夫嫁给同村村民老憨的故事。
青春在线,35000,44,213,19,172,情感,暂无评分,评分人数不足,, 全18集,0,0,简介：灿烂的阳光、蓝色的天空、碧绿的大海、金色的沙滩、本剧以年轻活力、秀丽宜人的滨城为背景，以独特的视角、扣人心弦的情节、以或清新靓丽、轻松明快或朴素深刻、浪漫抒情的形式展示了一群以华阳、陆京、雨寒等为代表的新时代成长起来的青春男女。
心远,66000,16,257,182,1112,年代,暂无评分,评分人数不足,, 全32集,0,2,简介：中国古代有“太上立德，其次立功，其次立言”之说。许多教育家在教育上都不重著书立说而更重躬行实践，熊育英便是如此。 “吾欲托之空言，不如见之行事之深切著明也”。在一生漫长的教育生涯中，熊育英虽然并未给后人留下什么教育著作和系统完整的教育思想，然而，他却以自己孜孜砣砣，身体力行的教育实践，深刻影响着江西近现代教育的历史面貌，为江西近现代教育事业的发展做出了巨大贡献。其教育业绩和影响，不仅为近代以来江西教育史上绝无仅有，即使是在近代以后的中国，也是罕有其匹的。更难得的是，身为教育家的熊育英，身上具有快意恩仇...
你是苹果我是梨,26000,91,305,206,421,,暂无评分,评分人数不足,, 全21集,0,0,简介：早晨的阳光很美好，但汤梨华却感到天突然阴了。邻居小希看到汤梨华的女婿与一个女孩亲热地走在街上，而这个女孩却不是汤梨华的女儿。
代号利剑,61000,73,383,173,438,刑侦,暂无评分,评分人数不足,, 全20集,0,0,简介：中国南部随着改革开改经济快速发展，跨国黑帮金融犯罪的手法日益昌獗，犯罪分子盗取国库财富的罪行日新月异……为了斩断黑手，稽查惩处洗钱犯罪，打击腐败分子，由南江省稽查局长常泳波为首的专案组，开始了代号为“利剑”的反洗钱行动，直逼南明市……跨国黑帮洗钱集团首脑司马凌云在南明市苦心经营多年，虚设企业二十多家，仅虚开增值税发票一项，每年就给他赢利上亿元。虽然，这些企业都是雇人前台操做。但如果常泳波追查到底，每年上亿元的收益泡了汤，他着实于心不甘……专案组连续出击，都由于南明市地税局副局长孙朗的通风报信，无功而...
平安是福,48000,137,472,573,1241,搞笑都市,暂无评分,评分人数不足,, 全52集,0,2,简介：《平安是福》是首部以百姓日常生活中的安全题材为内容的大型室内情景剧。由国家安监总局政策法规司、总局宣教中心、中国安全生产报社和北京水星经典文化传播有限公司联合制作，由中国科学文化音像出版社的出版发行。2008年11月21日在央视2套黄金档期播出。《平安是福》环绕以国家安全生产法律法规和安全科学知识为依据，以百姓日常生活中经常遇到，但又容易忽略的社会安全问题为切入点，用喜剧的形式提示百姓在日常生活中要注意的安全问题。
戴着面具跳舞,50000,933,428,15,507,都市,暂无评分,评分人数不足,, 全21集,0,1,简介：银行金库被盗，千万巨款离奇失踪，神秘女子正期待着与心上人亡命天涯，等待她的却是脑后亲密爱人的一记重锤和另一个女人的狰狞笑脸。山雨欲来。
我们的地球-我们的海洋,42000,213,2456,95,109,自然科技动物,暂无评分,评分人数不足,,0,3,简介：是什么使得我们的地球如此奇妙，同时又如此让人难以捉摸？是什么让新生命在看似无法孕育生命的地方出现？自然界的奇迹是如何诞生的？为了让植物和动物在今天我们发现它们存在的地方出现、繁衍，需要什么样的力量？该片摄制组耗时两年多，走遍六大洲，探寻各大自然界的奇迹。他们一直不断探寻独特的植被和动物栖息地与洋流、地质构造及气候带之间的关联。在他们的努力下，前所未见、形态各异的各个地区和动物物种得以3D影像的方式呈现在我们眼前。,
探险加勒比海-与鲨共游,32000,51,1564,55,113,自然动物,暂无评分,评分人数不足,,0,1,简介：加勒比海壮观的水下世界蕴藏着许多秘密。数百万年以来，海龟与鲨鱼在这片海域和平共处。在这里，阳光透过水晶般清澈的海水，在绚丽的珊瑚礁上施展它的魔法。这一全新的3D探险让我们能够见识凶猛至极的虎鲨，仿佛它们就在我们的客厅里。鲨鱼既让人恐惧，又令人着迷。它们敏捷、灵活，优雅地徜徉于海洋中，用所有感官观察我们，对我们产生种种好奇。媒体将鲨鱼称为“杀手”、“嗜血的猛兽”，但鲨语者让这些美丽、神秘又令人震撼的捕食者展现出了它们真正的面貌。它们是海洋之王，敏感，拥有意想不到的能力；然而他们所面临的灭绝威胁。,
寻找沙皇的宝藏,58000,355,2831,72,148,人文历史,暂无评分,评分人数不足,,0,1,简介：沙皇之冠，俄国财富和权力的象征，总是如此令人着迷。沙皇，拥有着无穷的财富，宫殿的宝库过去收藏着具有无限光彩的钻石和珠宝，这向我展示了过去的俄国是多么庄严、富有和成功。本片重点向观众介绍了俄国沙皇时期的皇宫内的各种珍宝，展现了过去沙皇俄国的荣耀……,
动物变专家,1339000,4251,3882,5069,4170,动物萌宠,暂无评分,评分人数不足,, 全20集,0,2,简介：如何把一只英国小猎犬训练成为专业的联邦警察嗅探毒品或爆炸物的警犬。这些警犬的鼻子可以确保机场、足球场和酒店公寓的安全。这个系列片主要讲述人和动物之间如何共同生活，然后把它们训练成为可以为人类服务的动物。人和动物们共同经历的欢乐、痛苦、进步、成功、失败。。。
我的动物朋友-海底任务,71000,146,2795,1234,2180,自然动物,暂无评分,评分人数不足,, 全26集,0,1,简介：本系列节目从动物的角度叙述，观众们可通过这些故事探索动物生命的奇迹
环球之旅,127000,434,6019,415,317,旅行人文,暂无评分,评分人数不足,, 全13集,0,0,简介：不同国家的记者讲述他们在界上最奇特的地区的经历，奇遇，以及文化碰撞。
国史演义,3268000,9612,101000,45000,24000,人文历史,9.6,174,, 全134集,0,43,简介：《国史演义》是大型历史人文类讲述节目。以学者讲述为主，辅助以丰富的电视手段进行展现。探寻鲜为人知的历史故事，思考博大精深的中华文明，《国史演义》兼具故事性、思辨性和知识性。该节目从三月份开播以来，已播出超过200多期系列节目，已有多位专家学者参与了节目的录制，如中国人民大学张鸣教授，著名历史学者王立群，著名脱口秀主持人梁宏达，历史学者纪连海，国防大学教授马骏，中央民族大学教授蒙曼，中国青年作家蒋方舟，著名学者许子东，中国当代著名军事专家徐光裕少将，军事科学院研究院杜文龙大校等。
清宫秘档,1179000,17000,33000,4019,2063,人文历史,暂无评分,评分人数不足,, 全28集,2,14,"简介：紫禁城，以其恢弘的宫殿建筑和绚丽的文物珍藏为世人瞩目，而坐落在紫禁城西侧的中国第一历史档案馆，却鲜为人知。它，保藏着明、清两朝一千余万件珍贵历史档案，其中有皇帝传位的绝密遗诏，有王公大臣办理政务所上的秘密奏章，有全长近千米的刑科题本；有历次科举考试的金榜，还有记录着二十多万皇室成员""尊贵血统的皇族族谱……。举凡国家大政，宫闱秘事，均可于其中搜寻出蛛丝马迹，窥见历史的真貌。这些原始档案以其真实性、系统性而无愧""东方瑰宝""的美誉。每一件档案都承载着一段遥远的历史，述说着一个鲜活的故事。"
室内近距离战斗,1278000,8989,116000,9001,24000,军事,9.6,180,, 全13集,1,37,简介：Close Quarter Battle简称为CQB，即室内近距离战斗，是各国军方及警方的突击队、反恐怖特种部队等等特勤单位配合当今的环境需要发展出来的一种战斗技巧及战术模式，以应付城市中不断蔓延的恐怖活动、犯罪以及特种作战的需要。这套战斗技巧和战术与传统的野战、丛林作战等完全不同，而且多应用在敌人指挥部、大楼、民居等室内环境，所以这种战术称为“室内近距离战斗”，但并不是所有在室内所发生的战斗都称为CQB。
我们的知识是一滴水,32000,48,1191,41,93,科技,暂无评分,评分人数不足,,0,1,简介：詹姆斯·邦德在多年以前就做了一场实验，结果令人震撼且激动人心。水是生命之源，存在我们生活中的各处，但是水也有不为人知的一面。,
生物艺术,15000,103,1335,46,66,科技自然,暂无评分,评分人数不足,,0,0,简介：生物艺术是一个国际化艺术运动，在这一运动下，艺术家利用科学技术，包括生命物质，进行艺术创作，越来越多的生物艺术作品出现在公众的视野中，以此启示人们重视自然、科技。,
为了承诺,22000,25,187,3,41,都市,暂无评分,评分人数不足,, 全21集,0,0,简介：外型粗犷、忠厚善良、积极乐观的王力曾是摔跤运动员，他独自带着儿子王飞艰难地生活，为养育孩子，他四处打工，却经常碰壁。卖猪肉的寡妇李金瓶和儿子彬彬、女儿翎翎跟王力住在同一幢楼房，因为想给孩子一个完整的家庭，他们结成一对半路夫妻。不料，金瓶送饭到王力的工地时死于意外，两个孩子一直不肯认王力为爸爸。懂事的王飞为了减轻爸爸的负担而去打工，意外地遇到自己的亲生母亲程莹娟。王力身患绝症，为了孩子们的未来，把他们托付程莹娟养育，谁知三个孩子逃离程莹娟家回来找王力。王力知道孩子们是离不开他了，于是带着他们来到游乐园...
极致！光明和黑暗,14000,119,1105,49,62,社会科技,暂无评分,评分人数不足,,0,0,简介：试想一下，在连续几个月的黑暗或者充满不间断的阳光中生活，我们会是怎样的？我们该如何去生存？是什么吸引人类在极端环境下生活的呢？,
眼看宇宙,304000,775,262000,541,1226,宇宙,暂无评分,评分人数不足,,0,2,简介：望远镜所带来的最壮观的发现之一就是银河系正中间的黑洞。由天文学家彼得·哈比森率领的一支5名新闻记者组成的团队正在前往智利北部的途中…,
为您服务,56000,1378,822,1104,240,搞笑,暂无评分,评分人数不足,, 全100集,0,1,简介：以一家“为您服务公司”为平台，展示我们身边的百姓生活和他们的喜怒哀乐。该剧思想健康向上，内容丰富多彩，剧情幽默风趣，人物个性鲜明，风格独树一帜 ……
发光的海洋,154000,1072,8550,339,784,探险自然,暂无评分,评分人数不足,,0,3,简介：当夜幕降临到海平面的时候，珊瑚礁便为研究人员呈现出令人不解的现象。海洋生物在一种不可见光之下自我炫耀,
海平线上的迪拜,56000,244,2651,57,122,人文,暂无评分,评分人数不足,,0,1,简介：讲述三个不同阶层的人在迪拜这个大都市的生活状态。,
丝绸之路上的黄河古渡,38000,217,3474,97,174,人文历史,暂无评分,评分人数不足,, 全2集,0,1,简介：黄河和丝绸之路是华夏文明的代表，这两条最主要的文明的线路恰恰在靖远发生了交汇。 靖远，是中华古文明的十字路口。中原农耕文化、西域游牧文化，包括草原文化、青藏文化这四大版块的文化都在靖远丝绸之路上的黄河古渡发生着巧妙的碰撞。虎豹口、乌兰津、索桥关、寺尔湾、五佛沿等等，这些丝绸古道上的黄河渡口，有着丰富的未被发掘的人文价值。纪录片《丝绸之路上的黄河古渡》选择了索桥古渡作为代表，以纪录片的写实的方法， 探索了古人如何选择渡口、渡河方法、渡口沿革等历史疑团。
工业传奇：与德国智造同行,124000,4188,6386,469,514,科技社会,暂无评分,评分人数不足,, 全5集,0,10,简介：《工业传奇》第一季《与德国智造同行》由中国机械工业信息研究院和德国弗戈工业传媒集团联合出品，该系列纪录片共五集，分别从“源发动力”、“品质致胜”、“创新机遇”、“磨砺成器”、“工业4.0”等五大板块，揭秘解读德国制造从落后到领先的崛起秘诀。
传家本事,77000,9217,5164,5207,323,人文,暂无评分,评分人数不足,, 全32集,0,2,简介：首饰是人灵魂的窗口。对于一件首饰，设计、工艺、材料讲究的不是谁更轻重，而是相互辅助共同衬托首饰的中心：人。谈及张凡的 “好·金主义”系列作品，张凡说这源于她在创作时的一个追问：是谁赋予了“金”权利？当中国宫廷首饰文化与细金工艺，遭遇个人艺术首饰的现代创作实践时，能够让我们耳目一新的可能会是什么？当“金”作为一种饱含象征意味的金属，其极具当代性的特征与个人创作产生关联后，首饰作品将会赋予“金”什么？她都将所有的答案，放到了每一件首饰作品当中。
《画中国》第一季,149000,2967,21000,1921,1623,人文,暂无评分,评分人数不足,, 全15集,0,4,简介：通过中国当代书画艺术家的视角来诠释中国的风土人情，用讲述艺术家的创作历程来诠释民族文化，用“情”诠释中国画的精髓，用“美”展示中国画的魅力。
《画中国》第二季,60000,936,21000,1925,636,人文历史,暂无评分,评分人数不足,, 全15集,0,2,简介：《画中国》是由精英团队打造的系列纪录片，通过中国当代书画艺术家的视角来诠释中国的风土人情，用讲述艺术家的创作历程来诠释民族文化，用“情”诠释中国画的精髓，用“美”展示中国画的魅力。
戴安娜的独白,422000,5839,22000,1631,2845,人文历史,9.6,109,,0,19,简介：1997年8月，戴安娜王妃因车祸香消玉殒；2017年8月，伊人已逝，廿年倏忽而过。我们已经听过各种各样的人，他们口中，戴安娜王妃的故事。不过，今天我们将翻开尘封的档案，用戴安娜的自述，为她画像。这些资料包括：未公开的戴安娜访谈录像，它们将为我们展示一个更率直，不遮掩的王妃；以及我们对在世者的访谈，他们或是曾受戴安娜激励而学会把握人生，或是曾为王室工作，与戴安娜有过近距离的接触，或是一直致力于还原戴妃的一生。,
戴安娜:风流韵事,119000,928,4542,214,584,人文,暂无评分,评分人数不足,,0,0,简介：她曾是世界上最出名的女人。对几百万人民而言，戴安娜不仅仅是威尔士王妃，更是个超级巨星。就让见证戴安娜和人民的密切关系的人们来讲述这段故事吧。当时，王室的名誉岌岌可危，他们正需要一位王位继承人和完美的王妃来补救。被推到聚光灯下的戴安娜惊艳了全世界。她的魅力迷倒了所有见过她的人，从电影明星到各国元首，从慈善事业者到清洁工...... 有史以来第一次，君主和明星效应结合到了一起。她的国事访问次次登上头条；为慈善事业奔走经营；人们对她过世的悲痛万分。为什么戴安娜在完美的时机成为了完美的王妃？,
