电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,
青铜狂魔,165000,945,3737,102,4944,犯罪,暂无评分,评分人数不足,90,0,11,简介：碧海市,一个昏黑的夜晚，两个男人在一幢古堡进行文物交易，突然，卖者被对方用长剑刺死。被害者名范小庄，曾因走私文物和盗掘古墓被判刑。女警官邓虹和刑警段明海接管此案。,,,,,
房屋大救兵 第一季,547000,325,6079,484,10000,人文社会旅行,暂无评分,评分人数不足,已完结, 全10集,0,5,简介：这个系列展示了四个充满激情的建设者，他们去到在十个偏远的地方，只有一个任务——改善生活。“房屋大救兵们”周游世界，奉献自己的专业知识，为那些对困难的地方带来幸福感。无论是在尼加拉瓜打一口井，在墨西哥建一所职业学校，还是在秘鲁建一个回收中心，“房屋大救兵们”们不惜一切代价救助这些偏远居民的生活。,,,,,
三角窗外是黑夜（僅限港澳台地區）,237000,3199,16000,1996,9386,漫画改奇幻,暂无评分,评分人数不足,连载中, 每週日更新,无,无,简介：書店店員三角擁有靈異體質，能看見一些特殊的事物。某次與除靈師冷川相遇後，冷川看出他的才能並強迫他成為自己的搭檔。冷川有著強大的能力，可是幾乎沒有生活常識，一同行動的三角經常不得不代為處理各種事情。而且冷川有著特殊的除靈方法，每次都讓三角感到非常......這種銷魂的除靈方式真的沒問題嗎？,,,,,
SAKUGAN（僅限港澳台地區）,113000,907,9089,620,5476,原创科幻冒险,暂无评分,评分人数不足,连载中, 每週四更新,无,无,简介：在遙遠的未來。人類瑟縮在被岩層包圍的“圈落”內艱難度日。圈落外面，是一片廣闊而危險的未知領域“迷宮”。而那些冒著生命危險開拓“迷宮”、在未知中留下已知烙印的人們，則被稱作“標記人”。想成為標記人的少女·梅梅普與想改行不做標記人的男子·剛剛爸。這對風格迥異的父女即將向迷宮發起挑戰！“既然沒有路，那就自己動手挖出一條！”,,,,,
女孩遇見男孩（僅限港澳台地區）,83000,225,8043,298,4924,原创奇幻泡面,暂无评分,评分人数不足,连载中, 每週六更新,无,无,简介：夏天、沖繩。一個夏天裡不得了的邂逅。沖繩的高中一年級學生·比嘉舞星，在暑假時給家裡的旅館幫忙做前臺服務員，悠閒地度過這個暑假。某一天，來了一位從東京來的客人住在了他們的旅館裡。這個看起來別有隱情的客人的名字是，鈴木一郎（？）鈴木來了之後，旅館中不斷發生著奇怪的事情……在房間裡游來遊去的魚兒們，穿破旅館天花板的巨大榕樹。在二人之間這些突如其來的奇妙事件究竟是——？,,,,,
阿帕鲁萨镇,207000,3050,13000,416,5312,剧情动作犯罪,8.4,106,115,2,31,简介：故事发生在荒无人烟的美国西部，在阿帕鲁萨镇上，阿弗雷特和其搭档维吉尔依靠着武力和枪支艰难维持着镇上的短暂和平。小镇上最有权势的当属农场主兰德尔，由于手握着大量的资源，兰德尔和其党羽在镇上简直能用“横行霸道”来形容。终于，在惨剧接连发生之后，镇上居民们决定不再忍耐，一场大战即将拉开序幕。,,,,,,
寻找魔鬼,231000,1945,6060,167,4845,,暂无评分,评分人数不足,91,1,15,简介：清雍正年间，年羹尧得知雍正对自己猜忌，派人将数年敛聚的财富藏进西北大漠魔鬼城，随后，他下令诛杀了全部埋宝者。200年过去了，这批宝藏的下落成了个谜，好多寻宝人最后不得善终。,,,,,,
飞狗MOCO之小柯基的脑洞时刻,6259000,175,35000,1274,8997,搞笑萌系日常治愈,暂无评分,评分人数不足,已完结, 全30话,0,8,简介：飞狗MOCO有好多好多梦想，它想要尝试各种职业，变成一只优秀的狗狗~可在尝试的道路上，总会发生一些滑稽的故事。没关系，没有困难的工作，只有勇敢的狗狗！MOCO将带领大家，一同了解各种职业的特点，寻找属于你的梦想~,,,,,
黄飞鸿之四：王者之风,707000,11000,139000,1335,13000,动作,9.5,296,101,1,52,简介：黄飞鸿（赵文卓 饰）夺得狮王争霸金牌后飘然而去，一时间广东会馆高朋云集纷纷做贺，八旗将军府副都统阿兰成都（陈继铭 饰）大人登门拜访，原来八国联军欲使用各自的巨型赛狮挑战清廷，为维护国体，黄飞鸿决定出战与阿兰将军共赴国难。梁宽（莫少聪 饰）再度惹下事端被黄飞鸿驱逐，无奈只得与鬼脚七（熊欣欣 饰）等找到在北京办报的十四姨（王静莹 饰）求助，黄飞鸿亦赶到报馆，却与十四姨卷入了红灯照在租界内屠杀洋人的事端，黄飞鸿出手救人，与红灯照大师姐苗三娘（王菁华 饰）一同被德国兵士关押拷打。越狱而出的黄飞鸿从红灯照手中救出了...,,,,,,
方世玉,1309000,16000,87000,2447,20000,喜剧动作,9.7,571,96,0,107,简介：方世玉原是城中纨绔子弟，好打抱不平。一日，他闻说外省富豪雷老虎在次设下擂台，比武招亲，又听讲雷小姐貌美如花，遂前往比武招亲。当方世玉过赢准备打赢未来岳母李小环时，一阵风吹过，将台上坐着的小姐的盖头吹了起来，他发现竟是一名丑女时，马上故意认输，溜之大吉。,,,,,,
