电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,
像火花像蝴蝶,346000,2681,1358,88,342,剧情,暂无评分,评分人数不足,已完结, 全35集,0,5,简介：故事发生在三十年代的上海滩。为报家仇，永芳（江一燕饰）只身闯入大上海，她以出色的才艺赢得大佬段绍荣（胡军饰）青睐，并为她改艺名小金宝。段的盟兄唐立平（郑国霖饰）觊觎老大位置已久，他平日里不动声色，对段言听计从，暗中却加紧了篡权的步伐。段绍荣之女段宁（苑新雨饰）对唐立平弟弟唐立天（霍政谚饰）深爱有加，立天暗中则从事着抗日工作，唐立平立促立天与段宁相好，将来达到用段宁牵制段绍荣。“八一三”以后，日军全面占领上海，谋权心切的唐立平投身日寇，这令段绍荣深为不耻。小金宝和唐立天借机向他灌输抗日救亡的道理，段绍...,,,,,
亲人爱人,11000,5,63,4,14,,暂无评分,评分人数不足,已完结, 全25集,0,0,简介：25集电视连续剧《亲人爱人》讲述了一个关于亲情与爱情的故事。男一号“李岩”的扮演者是近年来一直活跃在电视荧屏的青年演员李修蒙。在剧中，“年轻气盛”的李修蒙遇到了一个强劲的对手，汤镇宗饰演的“成功男人张侃”，两人为了追求同一个女人各自展开攻势，到底是李修蒙的真诚热情可以俘获芳心？还是汤镇宗的一掷千金更加诱人？当爱情遇到金钱女人又是如何选择的，这也是当今社会的一个普遍现象。,,,,,
武当一剑,818000,7624,6832,433,2005,武侠古装,暂无评分,评分人数不足,已完结, 全39集,1,29,简介：明朝末年，武当派数位高手相继遇害。时隔多年，凶手仍然是个谜。当昔日遗孤——当俗家弟子耿玉京已长成翩翩少年时，与前来比武的东方亮不打不相识，成为了无话不谈的挚友。倏忽间，风云再起，先是泰昌帝服用武当红丸后暴毙，后是新任武当掌门又对耿玉京步步相逼。无奈之下，耿玉京离开了武当山，在“独行大盗”郑铁岗和其孙女郑巧儿的帮助下，秘密追查当年父母遇害的真相……在追查事情的过程中，他又先后遇到了少林僧人慧可、断魂谷谷主卢象升、昆仑西门燕等武林人士，最后还与辽东的努尔哈赤成为了忘年之交。当调查逐渐有了指向，昔年隐藏的...,,,,,
花火,98000,136,518,25,141,剧情,暂无评分,评分人数不足,已完结, 全29集,0,2,简介：凌骁（马骙饰）是衔着金汤匙出生的富家大少爷，大学毕业之后，他拒绝了在父亲手下工作，而是坚持靠自己打零工的工资来实现梦想。一次偶然中，凌骁邂逅了名为魏薇（李心艾饰）的女孩，凌骁就此坠入了情网，没想到的是，凌骁的家庭成为了两人之间最大的也是最无法调和的矛盾。在凌骁的介绍之下，他的同学谭越来到了4S店打工，就此爱上了那里的主管陈茜茜（毛俊杰饰），可是，陈茜茜接近谭越，为的只是能够和一心爱慕的凌骁更加的亲近。与此同时，凌骁的表哥赵震南也在不知不觉中被魏薇所吸引。每个人都处在人生的十字路口前。,,,,,
闹起来，费先生,248000,1783,8406,1661,23000,科技,9.4,145,已完结, 全12集,0,37,简介：这部由中国科学院物理研究所出品的首部科普轻喜剧《闹起来，费先生》，通过塑造一个独特的物理老师形象，展现他和他普通的四口之家，在全民网课的时代下产生的生活琐事，并将生活中符合青少年身心发展的生活智慧、成长之道，与物理这门学科结合，呈现出独特、新颖、有趣的物理网课，明白无论是科学研究，还是为人处世，协作精神才是YYDS。,,,,,
一错再错,49000,631,458,26,157,情感,暂无评分,评分人数不足,已完结, 全22集,0,5,简介：一错再错，讲述西州大学校花小蕊当选校园经典话剧《以爱情的名义》女主角，这使得同时爱上小蕊的立森和张扬男主角争夺战，成为了一场爱情争夺战。万万没想到的是，由此竟然引出了彼此父辈一段尘封20年的爱恨情仇。立森母亲肖梅在剧社意外撞见20年前强奸自己的罪犯刘建国，因此强烈反对立森出演该剧，母子俩发生争执导致车祸，肖梅不幸身亡。立森失血过多危在旦夕。得知消息后，20年前自杀未果而一直忏悔的刘建国，犹豫再三，决定匿名去医院给立森输血。,,,,,
亚瑟,50000,104,1580,66,2885,喜剧,暂无评分,评分人数不足,110,1,6,简介：豪富的巴克家族继承人——亚瑟是纽约城里知名的彼得潘式的人物，他化装成蝙蝠侠横冲直撞之类的荒唐行为屡屡见报，令他执掌家族公司的母亲倍感压力。,,,,,,
爱你所以离开你,20000,44,239,6,47,剧情,暂无评分,评分人数不足,已完结, 全24集,0,1,简介：方大川和郝羚是恋人。郝羚怀孕，方大川执意要她堕胎，致使郝羚在手术的前一分钟逃离，并持刀向他宣布：这个孩子跟你无关，我一定要生下他。在激烈的冲突中，郝羚意外流产，这一事件导致郝玲患上了较严重的抑郁症。为此，她逃离了这个让她伤心的城市。一夜之间，郝羚在方大川面前消失了……一年后，方大川通过大学同学、上海猎头公司的刘晓楠的力荐，空降上海出任某广告公司的总裁。令方大川意外和惊喜的是：郝羚竟然与他就职在同一家公司；令郝玲措手不及的是：公司新总裁竟然是她逃避了一年的前男友！方大川的到来，加重了郝玲的抑郁症状，她...,,,,,
超越情感,64000,238,388,31,123,剧情,暂无评分,评分人数不足,已完结, 全22集,0,0,简介：建筑设计师戚润物从北京领完建筑设计大奖返回上海，兴冲冲地进了家门，却惊呆了：丈夫王自力和小保姆正在床上偷欢。戚润物是个追求完美的女人，她无法容忍这样的羞辱，愤怒地冲出了家门。王自力知道自己错了，追出去向戚润物道歉。可在人来人往的马路上，戚润物不但根本听不进去，还将王自力怒斥了一番。王自力被骂得失去了理智，甩手一记耳光，把两个人都打楞了。等清醒过来，戚润物悲凄地意识到，一件发生在别人身上的事也落在自己身上，那就是——离婚！一失足而成千古恨，王自力非常后悔。为了挽救就要破碎的婚姻，王自力派办公室主任李...,,,,,
铁血风尘,32000,7,489,3,80,剧情,暂无评分,评分人数不足,已完结, 全10集,0,0,简介：电视剧讲述了抗日战争时期，赵小锐扮演的国民党将军一心抗日，并一直努力与共产党合作。他的部下中有几个是地下党，一个是王秘书，一个叫陶竹。他们一直在掩护将军。后来陶竹被特务抓住叛变了，但她并没有供出自己的同伙。只是与特务头子同居。赵小锐扮演的国民党将军最后也被特务设计逮捕，王秘书去求陶竹帮忙营救将军，陶竹也想办法尽力营救，最后将军还是被敌人枪杀了。片尾曲《有一个讲不完的故事》演唱：韦唯歌词：有一个讲不完的故事，诉说一个不曾重复的内容，不知道世上有多少路程，知道走远了那熟悉的也会陌生。不是捧着那同一份的真...,,,,,
家和万事兴之年夜饭,17000,6,325,7,54,家庭,暂无评分,评分人数不足,已完结, 全3集,0,0,简介：两年前的年夜饭因为大慈和远征之间的矛盾最终闹得不欢而散。自此以后，远征消失了。大慈的妻子小曼从那以后再也没有回过家。时间一晃已经到了2004年的秋天，二年终于等到了远在希腊的远征的电话。二年决定利用这个机会把大慈和远征之间的矛盾化解开，团团圆圆的吃顿年夜饭。但事情并不像二年想的那么简单。大慈对于远征的归来非但没有惊喜反而一肚子气。小夜认为远征回来肯定是衣锦还乡，为了不想在远征面前丢面子，小夜心生一计终于让大慈主动承担起了年夜饭的主办权。二年喜出望外，但同时觉得事有蹊跷。果不其然，小夜和大慈商定今年年夜饭...,,,,,
待到花好月圆时,21000,1,48,3,8,家庭情感,暂无评分,评分人数不足,已完结, 全24集,0,0,简介：丈夫不幸出车祸，妻子秋菊为了这个家，日夜操劳照顾老人和孩子们，每天出门挣钱支撑起了这个家。,,,,,
机智的山羊,37000,48,1703,94,595,动画,暂无评分,评分人数不足,10,0,5,简介：老虎的出现令热闹的森林瞬间变得安静，小动物们纷纷逃到安全的地方藏了起来。老虎走到一个山洞门口停下时，洞里的山羊吓坏了，但灵机一动，它想到了好办法。山羊假扮自己是大王，一边大声说老虎肉真好吃，一边让老虎快进洞来，后来转念一想，担心老虎有可能真闯进来，索性走出山洞，再用智慧将老虎吓得魂飞魄散。,,,,,,
妈有喜事,52000,236,2248,40,2886,喜剧,暂无评分,评分人数不足,92,0,1,简介：40岁的单亲妈妈瓦蕾特在时尚圈是呼风唤雨的女魔头，回到家却被自己的宝贝儿子洛洛吃得死死的。和闺蜜去乡下度假的时候瓦蕾特邂逅了老实巴交的IT男让雷内，这一次她似乎找到了自己的真命天子，让雷内也欣然跟随搬来了巴黎，令人期待的新生活就要开始了...,,,,,,
不要问我从哪里来,49000,62,1624,25,2824,喜剧,暂无评分,评分人数不足,90,0,2,简介：一位美丽的紫衣少女突然闯入了年轻经济学家欧阳杰的生活。她总是不期而至，又神秘离去，道一声“不要问我从哪里来”，留下一束紫罗兰。少女的出现令欧阳杰怦然心动，他的生活从此不再平静...,,,,,,
移动的急救室,1258000,24000,31000,2317,9156,剧情,8.6,543,已完结, 全11集,3,154,简介：【铃木亮平】将主演7月的TBS台日9档电视剧《TOKYOMER～移动的急救室～》。本作讲述了受东京都知事之命新设立的名为“TOKYOMER”的急救医疗专业团队（“MER”是MobileEmergencyRoomEmergency的简称），驾驶搭载最新急救医疗器械和手术室的大型车辆，开往极其危险的重大事故和受灾现场等地紧急抢救生命的故事。【铃木亮平】饰演急救队「TOKYOMER」的队长，出色的急救医生【喜多见幸太】，他拥有卓绝非凡的急救技术，总是抱着“光是等待的话，就有无法拯救的生命”这样强烈的信念和热情去工作。不管在多么危险的现场，总是会不顾危险，勇猛果敢，...,,,,,
林则徐,90000,114,1323,61,454,战争古装剧情历史,暂无评分,评分人数不足,已完结, 全18集,0,1,简介：英夷播毒遍东土，黑云压城城欲摧。道光帝王将相惶急求计，林则徐奋起禁烟。一道关防，亷明果勇，一纸飞鸽擒贼擒王。与邓廷桢、关天培冷眼怒对烟贩和穆彰阿，韩綮庆展开曲折斗争。广开言路，举行士子观风势；功用民心，创办民间禁毒局。放眼世界，首译洋文洋法：亡羊补牢，严惩鸦片走私。激励渔家几女，感召江湖义侠，威逼智取，毒枭束手，雷霆万钧，虎门销烟。保护正常贸易，赞守法之夷商，正视国际交往，致照会与英王。制洋炮以加强防御，籍群力而三退英兵，满台好戏，激动人心。只可恨，英军乘虚北上，坚船利炮横行，琦善欺上媚外，道光剿抚...,,,,,
午子风云,27000,3,370,1,60,战争剧情,暂无评分,评分人数不足,已完结, 全8集,0,1,简介：再现上世纪三十年代古镇狼烟，故事发生于1932年末至1933年初，讲述张国涛领导的红四方面军在陕南西乡组建第29军的整个历程。,,,,,
爱你，万缕千丝,79000,269,577,17,118,悬疑剧情,暂无评分,评分人数不足,已完结, 全33集,0,0,简介：佟之元（黄圣依饰）被父母寄予厚望送往英国深造，学成归来之后，原准备在事业上大展一番拳脚的佟之元，却遭到了接连的打击。父亲事业受创被害入狱，母亲经受不住这巨大的打击选择了自杀。一时之间，佟之元失去了一切。于是，她隐姓埋名前往泰国，并且发誓一定会有一天再回到这里，亲手惩戒那些陷害过她们的人。陈超（邓安奇饰）是佟之元青梅竹马的玩伴，无论是佟家出事前还是出事后，他都不离不弃的守候在佟之元的身边，无奈落花有意流水无情。在泰国，佟之元意外邂逅了同父异母的两兄弟方天丘（高云翔饰）和方天续（关智斌饰），两人先后爱上...,,,,,
血泉,104000,253,1229,39,386,战争剧情,暂无评分,评分人数不足,已完结, 全8集,0,8,简介：8集抗日电视剧《血泉》,,,,,
城市激情,4944,6,30,2,12,,暂无评分,评分人数不足,已完结, 全24集,0,0,简介：电视剧《城市激情》，是由杨小波导演执导的一部32集电视剧，该电视剧本融入了原汁原味的深圳本土元素，会使来深圳建设创业者重温那个为理想奋斗、激情似火的岁月。电视剧由深圳市蓝色星际企业形象策划有限公司、深圳市亚皇文化传播有限公司等单位联合摄制。,,,,,
错嫁,280000,70,694,59,288,剧情,暂无评分,评分人数不足,已完结, 全32集,0,0,简介：苏修文（严志平饰）是祥瑞斋珠宝行的大掌柜，因报答恩重如山的老东家入赘吴家，发妻裘曼卿（周月芳饰）闻讯愤然投河，抛下母亲和年幼的女儿苏香萦（甘婷婷饰）。数年后，香萦被苏修文接入吴家。东家独女吴婉宜（余娅饰）己嫁给苏修文，其女儿吴如霜（李彩桦饰）和二掌柜周鼎元（万思维饰）定了亲，但已长大成人的香萦对周一见钟情，如霜拿出定情信物相思扣，指责香萦第三者插足。此时一个疯婆子的出现带来了出人意料的变故，她暗示周鼎元与香萦是前世命中姻缘，谁都想不到她竟是当年投河未死的裘曼卿。得知真相的如霜质问母亲，为何为了祥瑞斋...,,,,,
大掌门,50000,46,208,7,101,战争,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：电视剧《大掌门》中，围绕杨家埠“年画大家族”杨氏一族争当掌门之位而展开，在讲述“七七事变”前后杨家埠的民间艺人和爱国志士，为保住祖宗传下来的艺术瑰宝，与日本侵略者斗智斗勇、拼死抗争故事的同时，也首次揭开杨家埠年画发展历程和制作工艺的神秘面纱。,,,,,
方世玉,135000,44,1071,31,458,剧情,暂无评分,评分人数不足,已完结, 全36集,0,1,简介：顽劣不羁的少年方世玉仗着一身铜皮铁骨，在广州素有小霸王之称。性格争强好胜，做事不计后果，但心地善良，有强烈的正义感，头脑灵活，搞笑风趣。其父方德为让方世玉修身养性，便将他送去了杭州的九逸会馆下属的一所义学去念书习武。在念书习武的过程中，方世玉认识了同来求学的洪熙官与胡惠乾，三个性格迥异的年轻人，从相互排斥最终成为挚友，并一起面对以雷老虎为首的恶势力。方世玉与洪熙官同窗之后，受收洪熙官影响，张扬的性格开始稍有收敛，行事也变得沉稳起来。继而却因为擂台上误杀雷老虎，性格再次发生变化，其间还经历了与雷老虎义...,,,,,
汉口码头,41000,59,244,16,64,剧情,暂无评分,评分人数不足,已完结, 全33集,0,0,简介：晚清民初之时，湖北茶乡少年黄天虎，不幸流落到汉口码头当扁担，又当过货栈学徒、洋行学徒，虚心求教，在乡情、友情、爱情的纠缠碰撞中，在码头上各派力量对利益的追逐较量中，历经磨难，勇闯茶叶之路，体现了他诚信、侠义、善良的品格。在辛亥革命、北伐、八七会议、抗战期间，都展示了黄天虎在历史的风口浪尖始终以民族大义为重的精神，最终成长为具有民族气节的一代巨商富贾。同时通过汉正街和汉口租界上的几个中外家族的恩怨情仇，围绕着乡码头、汉码头、洋码头展开的一场场惊心动魄的利益纷争，背衬着二十世纪初两湖地区风起云涌的革命风...,,,,,
借问英雄何处,123000,152,286,20,158,战争,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：民国年间，石大头、彭二骡、武山虎三异姓兄弟为湘西名绅沈家齐收养，三人肝胆相照，情同手足。十年后，因缘际会，三兄弟分别投入“国、共、匪”不同阵营，接连不断地卷入政治的明争暗斗，成为你死我活的对手。曾经同生共死的兄弟，在愈发激化的矛盾中，终于走到了割袍断义、挥刀相见的一天……抗日战争爆发，尽管旧日恩仇如山，但在民族大义面前，恩断义绝的三兄弟重新站在了一起。他们各自率部，组建抗日湘军，在“淞沪会战”的关键时刻，远赴杭州湾，凭着简陋的武器，与日军侵略者殊死血战，用鲜血与生命，铸就了气壮山河的血肉长城……,,,,,
摩西密码,93000,50,439,16,121,战争年代历史,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：该剧以一位旅居中国六十年的犹太老太太的回忆为线索，讲述了发生在1942年至1945年上海的一段荡气回肠的具有国际主义情结的英雄史诗，以及英雄们的爱恋情仇：船王之子陆昊然受世界反法西斯同盟组织委托为了一笔犹太巨额捐款，护送重要人物安妮来到上海。陆昊然与中共地下组织一道粉碎了日本侵略者一个又一个的阴谋，并且也解决了船王家族内部的恩怨情仇，并最终破译了巨款密码。与此同时，陆昊然与共产党地下组织配合上海的华商在上海金融界与日军展开了一场场高智力的博弈之战，抵制中储券，智毁伪钞板，计除假银行家，保护华商撤离……最后为...,,,,,
白狼,262000,148,752,47,289,战争剧情,暂无评分,评分人数不足,已完结, 全30集,0,3,简介：电视剧《白狼》是一部通过女主人公白狼的情感及命运、在烽火硝烟的战乱年代中的美丽演绎，展示了解放战争波澜壮阔的历史画卷，是一部精彩曲折、纷争激烈、惊险奇特、生动感人的写实电视剧。,,,,,
青春无极限,10000,10,93,5,18,剧情,暂无评分,评分人数不足,已完结, 全38集,0,0,简介：林康辉原是个小老板，蔡铭振是来自台湾的富家子弟，他俩虽然经历不同，都几乎在一夜之间成了穷光蛋。在遭受苦难后，两人皆不气馁，一心寻找创业机会，而且都看好在闽南乡村搞有机种植，因此阴差阳错碰到一块，艰辛地进行一场“绿色革命”。女主角程雨欣和林康辉是一对欢喜冤家，在磕磕碰碰中互为吸引，最后成了恋人。,,,,,
大爱无敌,26000,178,215,19,95,剧情,暂无评分,评分人数不足,已完结, 全25集,0,0,简介：素云（贾静雯饰）和丈夫子文结婚已经快十年了，这十年间，夫妻两人之间的感情一直十分要好。某日，素云和子文外出时偶遇了两人从前的好友谢永康，他的出现让素云捏了一把汗，因为在当初她和子文结婚的那一日，谢永康曾经对她热烈的表白，但遭到了坚定的拒绝，从此音信全无。子文的事业遭遇了严重危机，不仅工作不保，债台高筑，就连家里唯一的房子都要被收走。偏偏是在这个节骨眼上，子文出了车祸，继续一笔医药费救命，走投无路的素云想起了谢永康和她说过的话，如果她能够陪伴谢永康一夜，他便会帮助素云度过这一难关。,,,,,
复婚,68000,90,500,19,134,家庭,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：改革开放的今天，因为房子的问题，令千千万万家庭上演了情景各异的人间悲喜剧。在民政局担任调解员的潘军（许亚军饰）和妻子石小芬（陈小艺饰）虽说不上琴瑟合璧，却也将错就错地凑合到了现在。偏偏最近分配经济适用房的消息令小芬想出了假离婚的鬼点子，平日里媳妇软磨硬泡、威逼利诱已经让潘军疲惫不堪，再加上发誓为潘军自杀的前女友报仇的护士丁燕（胡可饰）出现，更让这个男人求生不得，求死不能。被逼无奈之下，他同意了假离婚的要求，谁知分房的愿望却就此落了一场空。在此期间，潘军认真思考了这段不算成功的婚姻，于是有意放缓复婚的...,,,,,
执着的追踪,40000,10,300,12,60,剧情,暂无评分,评分人数不足,已完结, 全31集,0,1,简介：该剧讲述了刘牧饰演的抗战期间身为军统和中共地下党双料特工的赵运达与樊少皇饰演的土匪胡大山阴差阳错中上演的一段亦敌亦友、“双雄夺宝”、追踪国宝——北京人头盖骨的精彩故事。,,,,,
海豚爱上猫,233000,554,2958,209,1121,剧情,暂无评分,评分人数不足,已完结, 全22集,0,9,简介：这个是一个人与海的故事，在古老的台湾原住民传说中，人类是海豚死后灵魂的变身，所以人与海豚之间，心灵原是相通的。当你听到海豚的声音，当你感觉它躯体温柔的触碰你，你会听见什么？你会感受到什么？一个被绝望充满的男孩，在成为海豚训练师的过程中，重新找到爱与希望——如梦初醒……这是一个人与自然的故事，在流传的阿美族神话中，鲸鱼马揪揪救了渔夫色拉旁，色拉旁发愿死后将胆投入大海，所以海水是咸的，海水是蓝的。都是色拉旁愿与鲸鱼马揪揪常伴的的证据。洄澜海边，奇莱山巅，自然的拥抱，使人的苦难变的渺小，几个来自都会的青年...,,,,,
抗日奇侠,3906000,16000,13000,1821,11000,战争剧情,4.3,993,已完结, 全35集,1,513,简介：上世纪30年代，日本侵略者的铁蹄肆意践踏神州大地，华夏儿女沦为亡国奴，更惨遭日寇荼毒，中华民族到了生死存亡的时刻。时至此时，国民党、共产党纷纷奋起反抗，而隐藏在民间的高手也不愿束手就擒，坐以待毙，他们贡献出自己的绵薄之力，书写出一段段可歌可泣的抗日奇侠史。为了壮大抗日的队伍，共产党某营营长王牧风（王新军饰）吸收了廖天生（徐亮饰）、宋无娇（尔玛依娜饰）、鬼魂铁柱（李嘉明饰）、杜大鹏（马京京饰）等武功高手加入组织，他们成为了最令日寇头疼的奇侠部队……本片号称投资近五千万、号称采用好莱坞拍摄手法、还号称美国后期制作。,,,,,
我的极品老妈,62000,29,261,19,75,搞笑家庭剧情,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：年过半百的张文音（斯琴高娃饰）思想开放、敢为人先，开办婚姻介绍所的她结识了爱情道路坎坷无成的男人方建国（刘佩琦饰），原本想为对方当爱情参谋，谁知一来二去不仅被旁人认作是老两口，连他们自己心中都有了异样的感觉。无奈张的儿女江大海和江小洋（王姬饰）同意母亲再婚的想法。尤其小洋，职场上风光得意，颐指气使，在家更把老公林永（冯国强饰）压下一头，这也使他们的婚姻走向破裂边缘。几番争执过后，这对个性十足的母女达成协议：只要母亲不再婚，女儿就决不离婚。当然母女二人各有各的小九九，娘儿俩婚照结，婚照离，只不过彼此瞒...,,,,,
密使,159000,445,845,108,401,战争剧情,暂无评分,评分人数不足,已完结, 全30集,0,1,简介：抗战全面爆发后，孪生兄弟于明阳（于震饰）、于明辉（于震饰）投笔从戎。明辉后来参加了中共游击队，投身到敌后抗日战场，由于从军前他有英语基础，所以很受上级重用，在根据地很有名气。抗战结束后，很快又开始了三年的解放战争，此时的哥哥于明阳则是从美国西点军校毕业的军事专家。华野总部获悉兄弟二人的情况后，派于明辉前去策反于明阳。军统局长毛人凤知悉于明阳归国，特派军统之花罗美慧（陈紫涵饰）、心腹干将王松山（张鹰饰）、张发运等前往迎接。由于多年的人生观、世界观不同，于明阳断然拒绝了弟弟的策反并发生火并，枪战中于明阳...,,,,,
抹布女也有春天,173000,1625,804,53,473,剧情,暂无评分,评分人数不足,已完结, 全42集,0,3,简介：她是出身寿衣店的4S店汽修师罗小葱（海清饰），率真执着的她与男友张华相恋多年，谁知却被负心人琵琶别抱抛弃了。在最伤心的时刻小葱遭遇了名不见经传的小漫画家吴桐（张译饰），结果就这样推开了人生的另一扇门。原本有许多误会的二人，在打闹了张华和顾美美婚礼会场后发现彼此在恋爱一事上竟有着许多相似共通之处。正所谓同是天涯沦落人，二人心底由此多了一份理解。一波三折加上七大姑八大姨的掺合，吴桐和罗小葱硬是假戏真做结成了夫妇。男与女的缘分就是这样不可琢磨，你不知道最适合你的那一半何时何地会出现，只能欣慰的慨叹抹布女也有春天……,,,,,
我是真的,136000,322,615,63,331,,暂无评分,评分人数不足,已完结, 全29集,0,1,简介：1947年，国共之争已经到了白热化的地步，古老中华民族的命运即将改写。就在战略要隘江淮省灵通市下辖的柳行县，发生了一件闻所未闻的大事。该县迎来了中共苏宁的特委联络员，可是来的两个人竟然都叫桑义州。原来（郭晓冬饰）此前经过的灵通特委遭到国民党的袭击，假桑义州趁机混入其中，以混淆中共视听。似乎并不难于勘别的事，可是却变得复杂起来，真桑义州被指认为特务，面临处死的境地。他急中生智，假装承认特务身份，随后趁机逃脱。可是所有能够证明其身份的线索都已断掉，他不仅要躲避敌我双方的追杀，证明自己的清白，更要摧毁假桑义州...,,,,,
沙丘,19208000,421000,458000,59000,186000,冒险剧情科幻小说改,8.2,12680,156,87,3306,简介：电影《沙丘》为观众呈现了一段神秘而感人至深的英雄之旅。天赋异禀的少年保罗·厄崔迪被命运指引，为了保卫自己的家族和人民，决心前往浩瀚宇宙间最危险的星球，开启一场惊心动魄的冒险。与此同时，各路势力为了抢夺这颗星球上一种能够释放人类最大潜力的珍贵资源而纷纷加入战场。最终，唯有那些能够战胜内心恐惧的人才能生存下去。,,,,,,
无影灯下,123000,175,609,23,165,剧情,暂无评分,评分人数不足,已完结, 全37集,0,1,简介：陆亚南、陈羽静、何美芬、潘嘉辉从医学院毕业，进入安然医院。紧张的工作和频发的意外使他们对医生有了理解深刻。医院泌尿外科主任肖克明成熟冷静，谨慎小心，副主任钟立伟玩世不恭，正直张扬。两人性格迥异，在生活与工作方式、年轻医生的培养等问题上冲突频发。患者李中天离奇死亡，给陆亚南留下了巨额遗产，陆亚南被李中天的儿子纠缠不休。无良律师雷震拿何美芬打赌，欺骗何美芬感情。一个精心策划的骗局和陷阱，何美芬勇敢面对。陈羽静因一次患者家属没有签字的手术而被告上法庭。陈羽静不服判决结果，顶着被医院停职的压力坚持上诉。不法...,,,,,
青春期撞上更年期,294000,705,1200,67,478,剧情家庭,暂无评分,评分人数不足,已完结, 全36集,0,0,简介：青年编剧邓家齐（杜淳饰）和新婚燕尔的妻子贺飞儿（马伊琍饰）算作父母之命、媒妁之言，崇尚个性与自由的他起初对飞儿有着颇多的不满与抵触。正在事业和家庭困顿之际，当年的女友白晓鸥（董璇饰）出现，以协助创作之名闯入了家齐本就矛盾重重的生活之中。家齐的有两个好友，身为制片人的苗知喻（曹炳琨饰）自幼成熟老练，勇于担当，可是面对王心颖（盖然饰）和牛邵蕊（何昊阳饰）这两个难以取舍的优秀女孩，他也犯了难；家境富裕的蒋鹏飞（于嘉萌饰）养尊处优，不知生活之艰辛，而为了赢得心上人，他不得不独自开始创业之路。三个好哥们爱情婚...,,,,,
雾都,1158000,22000,8018,1120,5708,战争剧情历史,9.4,119,已完结, 全36集,1,48,简介：该剧以1937年“七七事变”后日本大举侵略中国、国民政府由南京迁都重庆为背景，讲述了川军英勇抗敌以及重庆人民在八年抗战中无比顽强的生存之路。剧中张丰毅出演川军将领朱豪，一个袍哥出身的草莽军人，同时又是一个逐渐苏醒的爱国青年，还与抢来的大学生媳妇上演了一段“不般配”恋情。,,,,,
情暖万家,19000,17,74,6,38,,暂无评分,评分人数不足,已完结, 全27集,0,0,简介：电视剧《情暖万家》以全国公安民警大走访实践活动为背景，讲述公安民警热心服务人民群众的故事。溪湖派出所所长曲二群，因经常庇护未婚妻的哥哥胡玉海而和溪湖群众关系紧张。胡玉海酒后斗殴致人命后逃亡，这使曲二群受到强烈震动，他开始反省，在追捕胡玉海的同时，他下决心向湖溪群众还债。他走到群众中，扶危助困，为他们排忧解难，最终赢得了群众的信任和爱戴。而一直和曲二群打冷战的胡玉莺最终被感化，带着曲二群他们到遥远的西北找寻胡玉海,,,,,
协奏曲,174000,360,1515,75,934,剧情青春,暂无评分,评分人数不足,已完结, 全23集,0,7,简介：袁喆（吴佩慈饰）一直暗恋着弟弟袁浩（彭于晏饰）的家庭教师冯尚宁（李威饰），然而，令姐弟两人感到震惊的是，他们发现身为一家之母的周崇兰（陈谊饰）竟然也对冯尚宁情有独钟，袁浩又急又气索性离家出走，之后遇见了名为高苓（刘品言饰）的美丽女孩，一段错综复杂的情缘就此展开。多年之后，袁喆已经成为了一名男孩的母亲，在和丈夫左亚夫（陈宇凡饰）分手之后，她回到了久违的故乡，重新见到了曾经的初恋情人冯尚宁，可是，时光的匆匆流逝让珍贵的重逢充满了物是人非的伤感，袁喆会怎样面对自己的感情呢？与此同时，冯尚宁亦站在人生的十字...,,,,,
名侦探赛大爷,285000,290,5220,804,3246,人文社会,暂无评分,评分人数不足,已完结, 全1集,0,12,简介：为了搞清楚养老院是否在虐待老人，年过八旬的素人赛尔吉奥大爷被侦探公司聘请，住进了养老院。在三个月的行动中，赛大爷不仅掌握了高超的卧底技巧，还俘获了院里众多奶奶的芳心，成为了养老院的大明星。随着调查的深入，他发现事件远远没有当初外人设想的那么简单。在《名侦探赛大爷》中，导演巧借外来者赛尔吉奥的视角，暗中观察养老院中老人们的生活日常，并探究他们看似奇怪举止背后的辛酸故事。,,,,,
一家不说两家话,58000,79,263,14,91,家庭,暂无评分,评分人数不足,已完结, 全25集,0,1,简介：《一家不说两家话》由著名演员侯勇、岳红、霍政谚倾情演绎的新故事引起了广泛关注。而霍政谚首次出演反面角色，饰演剧中从小到大一直把侯勇当杀父仇人，千方百计让他身败名类的复仇青年，霍政谚亦正亦邪的表演，让大家恨的同时，又被他的“坏”所感动。《一家不说两家话》讲述一个小人物对自己心灵的救赎过程，通过发生在一个小县城的故事，折射出上世纪九十年代到现在10余年的历史变迁，讲述了人和人之间的信任、真诚的重要性，以此道出，一个温暖的家对每个人来说其实就是一个天堂。《一家人不说两家话》摒弃了绝对的“善恶”，增加了每个人...,,,,,
