电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,,,,,,,,
红牛皂飞车大赛 第四季,139000,2114,8790,482,1268,人文社会,暂无评分,评分人数不足,已完结, 全4集,0,10,简介：红牛皂飞车大赛是由红牛公司举办的赛车活动。自2000年以来，红牛皂飞车大赛已经在世界各地举办了超过100次，每场活动都有成千上万的观众来到现场，观看业余爱好者们驾驶自制皂飞车，冲下赛道，追求胜利。比赛规则非常简单，由团队设计一辆车，从山顶上滑行下来，直到终点。但是过程并不简单，选手们会遇到台阶、水池、稻草等障碍，一不小心就会摔个人仰马翻。而获胜的关键也不仅仅局限于速度，作为一个娱乐性质的活动，选手们的创意和表演更加关键。这次皂飞车大赛来到了科克、孟买和圣地亚哥，又会出现怎样爆笑的场景呢？,,,,,,,,,,,,
哈勃宇宙任务,241000,608,11000,1204,2147,宇宙,暂无评分,评分人数不足,已完结, 全12集,0,10,简介：《哈勃宇宙任务》是一部探索宇宙深处奥秘的纪录片，从人类对宇宙最初的疑问和探索到最先进的太空望远镜和探测器，从我们的邻居月球和火星到神秘的系外星球和星系。带你见识最广阔的宇宙，了解宇宙深处的奥秘，认知地球的渺小和脆弱。,,,,,,,,,,,,
茱莉亚学院之季,43000,166,4725,129,269,人文社会,暂无评分,评分人数不足,已完结, 全6集,0,1,简介：坐落纽约的茱莉亚学院，是世界上最顶尖的音乐院校之一，而本片将为您讲述这座学府中学子们的音乐青春与梦想。,,,,,,,,,,,,
奇葩运动 第二季,36000,56,5808,88,1076,运动,暂无评分,评分人数不足,已完结, 全4集,0,0,简介：美国魔术师亚当·特伦特曾在不少顶级舞台上表演魔术，他的演出总是场场爆满。但现在，他将走下舞台，抛下那些华丽精致的装置，来到欧洲街头。这次旅行的重点并不在于名胜古迹，而在于人。体验当地人的生活，感受他们的文化，去看看他们眼中的城市。亚当将用简单的道具和一双富有魔力的双手为人们带来魔术，通过魔术与人交流。在语言不通，文化不同的情况下，魔术能否拉近人与人间的距离呢？他又能否通过“魔法”在陌生的环境中结交朋友，体验异国风俗呢？,,,,,,,,,,,,
破晓而出,37000,210,1793,586,3689,社会,暂无评分,评分人数不足,已完结, 全8集,0,3,简介：在生活中我们往往会选择避开危险，而有这样一群人，却用危险来定义自己。他们每个人，都在为这一天做准备。尽管这一天，可能会成为他们人生中最伟大的成就，也可能会成为最惨烈的失败。但他们勇往直前，破晓而出。有时候，某一刻，能改变一天，而这一天，将改变一生。,,,,,,,,,,,,
再会唐人街,206000,1291,5452,454,1489,人文,暂无评分,评分人数不足,已完结，共1集,0,25,简介：《再会唐人街》是一部极具教育意义的纪录片。传统唐人街的模样, 如今只存在记忆里。当我们与它再相会时, 它已完成蜕变。温哥华市的唐人街, 不过是全世界各地唐人街的一道缩影。它的兴衰, 引发全体华人的深省。纪录片里的白人曾提出一个疑问, “为什么华人的文化、历史建筑, 需要靠我一个外人, 被认为是”文化侵入者”的白人来守护呢?”中华文化正在流失, 当民族文化认同感越低, 文化就流失得越快。该如何拯救唐人街?该如何在保护传统文化的情况下, 同时融入新兴文化?《再会唐人街》带你走进温哥华的唐人街。,,,
地平线：我们的天气怎么了,55000,273,772000,95,1830,科技自然,暂无评分,评分人数不足,已完结，共1集,0,1,简介：2010年，英国经历了历史上最寒冷的12月。2011年，美国经历了致命的龙卷风、干旱和森林大火。2010年巴基斯坦爆发洪水，造成1500多人死亡。世界各地的天气似乎变得越来越极端。但是，为什么会这样呢？这一切是否因为所谓的射流现象？气象学家、BBC天气预报员约翰·哈蒙德博士和海洋学家海伦·切尔斯基拜访了全世界正在努力探索这种神秘力量的科学家们，他们发现，这一神秘力量正是桑迪飓风和最近几年寒冷冬天等极端天气的罪魁祸首。,,,,,,,,,,,,,
我们身处哪个宇宙？,1072000,1784,772000,1071,4985,宇宙科技,暂无评分,评分人数不足,已完结，共1集,0,14,简介：宇宙学家敢于大胆地思考不可想象的事物。我们所知道的宇宙其实并不存在。我们只是一个更大的世界——一个无限大的多元宇宙中微乎其微的一部分。在这个一度被认为属于偏激科学家的领域，现在，来自各个物理学领域的证据显示，多元宇宙可能真实存在。在这个具有视觉冲击力的片子中，《地平线》将带你领略四种非常不同的多元宇宙。做好准备，暂时搁置那些关于现实世界的先入为主的观念吧，开放你的思想，去探索一个全新世界的可能性。,,,,,,,,,,,,,
驸马不要啊 动态漫  第一季,5098000,15000,88000,2918,9560,动态漫少女恋爱搞笑,8.6,233,已完结, 全20话,1,70,简介：以唐朝为背景而展开的古风恋爱故事。讲述了霸道公主康乐攻略花花公子宋金玉过上了先婚后爱的幸福生活。,,,,,,,,,,,,
糟糕的历史 斯蒂芬·弗雷精选版,799000,3498,506000,2473,13000,人文历史社会,9,188,已完结, 全6集,0,44,简介：和喜剧演员斯蒂芬·弗雷一起欣赏教育类闹剧纪录片《糟糕的历史》第一和第二季的精华部分。这部纪录片曾荣获英国电影学院奖（Bafta）和英国喜剧奖（British Comedy Award）。本次剪辑的精华故事包括：《犯罪观察》寻找刺杀凯撒大帝的凶手；二战时期的电码译员忘记了自己的密码，；乔治王朝时代的医生控制乔治三世的躁郁症…当然还有其它值得一提的故事：英国最伟大的水手纳尔逊司令实际上严重晕船；二战时期，女孩们在后方唱着关于女性力量的歌曲；喜欢恶作剧的少年国王埃拉伽巴路斯在《与我共进晚餐》中举办了一场宴会。,,,,,,,,,,,,
糟糕的历史 2010圣诞特辑,144000,535,506000,314,1826,人文历史,暂无评分,评分人数不足,已完结，共1集,0,7,简介：圣诞节，是一个向大家带来慈善、希望和友爱的节日……然而，对于《糟糕的历史》团队来说，它也是个观看放屁小丑表演、夹满培根的圣诞贺卡，享受克伦威尔收缴的节日大餐的日子。这一广受欢迎的节目推出的圣诞节特辑将通过本节目独特的速写、模仿与歌曲的结合，深入展现几个世纪以来奇异的圣诞节荒诞历史，探寻1066年征服者威廉得到加冕，但他的士兵们却把会众们的欢呼当作“暴乱”并火烧威斯敏斯特教堂的故事，揭开亨利二世著名的中世纪小丑——以“在圣诞节那天放屁”为职业的“放屁小丑”罗兰的惊人传奇，还要去发现维多利亚时代的圣诞卡到底...,,,,,,,,,,,,,
糟糕的历史特辑：令人惊骇的第一次世界大战,805000,1574,506000,1959,9900,历史人文,8.4,103,已完结，共1集,0,24,简介：在本集令人惊骇的世界大战特辑中，鲍勃·哈勒和黑鼠带着我们重温了1914到1918年间糟糕的历史，主要讲述了士兵、飞行员、平民、女童军、妇女参政权论者，还有国王都被卷入了战斗的故事。,,,,,,,,,,,,,
糟糕的历史特辑：荒谬的浪漫,128000,344,506000,271,2074,历史人文,暂无评分,评分人数不足,已完结，共1集,0,4,简介：本集荒谬的浪漫再现了很多糟糕的历史事实。历史上的大负心汉亨利八世与克里维斯的安妮有一段最短暂的婚姻，诺曼公爵征服者威廉用暴力追求玛蒂尔达公主，埃及女王克莉奥帕特拉七世为了权利结婚，尼禄大帝砍下他妻子的头送给情人做礼物。但也不都是不好的故事，尼斯代尔伯爵的妻子威妮弗蕾德帮助他逃离伦敦塔和阿尔伯特亲王帮助维多利亚女王统治国家20年向我们展示了什么是真爱。,,,,,,,,,,,,,
糟糕的历史 耸人听闻的莎士比亚特辑,164000,648,506000,413,2353,人文历史,暂无评分,评分人数不足,已完结，共1集,0,7,简介：2016年4月是英国最伟大剧作家威廉·莎士比亚（又或者是威廉·莎革士比亚或维利姆·莎士比亚，伟大的吟游诗人本人也不知道！）。在本集纪录片中，我们将了解这位剧作家的生平和所处的时代，从一开始在斯特拉特福德不为人知，到前往伦敦当兼职演员，最后成为英国最受人尊敬最有经济头脑的作家。我们还将认识他在伦敦的朋友们，他们都是剧作家和诗人，也喜欢争辩，他们是马洛、琼森和斯宾塞。,,,,,,,,,,,,,
糟糕的历史 惊人的故事讲述者特辑,79000,294,506000,161,1786,历史人文,暂无评分,评分人数不足,已完结，共1集,0,6,简介：谁是最优秀的文学侦探？最早的故事是什么？为什么查尔斯·狄更斯在美国受到了和流行歌手一样的待遇？《糟糕的历史》以其独特的恶搞风格分析文学史上最伟大的作品和史上最古怪的作家。我们将看到讲故事技巧的发展，神话故事比我们想象的更可怕，写作如何发展出对会计学的推崇。我们还将看到最出色的作家们如何以滑稽荒诞的方式克服他们的写作障碍。你知道阿加莎·克里斯蒂常常一边在浴室吃苹果一边写作吗？你知道D·H·劳伦斯为了激发想象，不惜裸身爬上桑树吗？,,,,,,,,,,,,,
糟糕的历史 伦敦可怕的大火特辑,101000,353,506000,199,1907,历史人文,暂无评分,评分人数不足,已完结，共1集,0,2,简介：《糟糕的历史》以独特的风格讲述伦敦大火的故事和与之有关的事件。1666年9月2日晚，面包烘烤炉里飞出的火花引发火灾。大火呼啸着蔓延至伦敦的大街小巷，摧毁了这座城市1/3的面积。本期特辑将探访大火发生前的伦敦和英国，当时瘟疫肆虐，王政复辟的国王查理二世却在享受着派对。我们将通过这部纪录片了解伦敦市长之所以在火灾发生时仍在酣睡，是因为他前一天晚上参加了通宵派对；日记作者塞缪尔·佩皮斯忙着掩埋他的奶酪，以确保奶酪的安全；克里斯托弗·雷恩设计的新圣保罗大教堂在废墟中拔地而起，充分体现了当时的思想。,,,,,,,,,,,,,
纽约的国王和王后,29000,24,1986,39,1046,历史人文,暂无评分,评分人数不足,已完结，共1集,0,0,简介：纽约是追梦人的天堂，在这里，只有想不到没有做不到，即便在遭受了911的重大创伤之后，纽约大多数人的生活依旧很快恢复往昔，这座城市抚平伤口后变得更加生机勃勃。我们记录了爱乐乐团的指挥，24小时工作在时尚界的超模，出色的当地餐厅厨师，他们精彩却也日常的生活一隅，通过这些活跃在纽约各个专业舞台上的国王和王后们，让人感受到纽约的忙碌，精彩，与其他城市的不同魅力所在，让人彻底爱上这座城市。,,,,,,,,,,,,,
大女孩儿,2246000,4945,106000,9877,53000,人文社会,暂无评分,评分人数不足,已完结，共1集,0,40,简介：如今早熟现象越来越普遍，现在很多女孩儿九岁甚至更早青春期就开始了，而在父母那一代，可能这个年龄大约是十三岁左右。研究者们对早熟现象的原因仍然莫衷一是，营养供给，基因遗传都可能在其中发挥作用。同时，越来越多研究表明，几种在日用品中常见的化学物质也可能催化了女孩儿的发育。与此同时，对于青春期过早到来的女孩儿来说，她们心理生理在这个阶段发生了巨大的变化。她们有的因为自己外形上的变化被同学孤立排挤；有的在心理还未成熟的情况下，就过早地被异性关注，进入了亲密关系；有的开始在网上寻找答案和慰藉。,,,,,,,,,,,,,
如何提高记忆,113000,434,13000,439,2959,科技社会,暂无评分,评分人数不足,已完结，共1集,0,2,简介：每个月都有63789个人忘记自己的银行密码… 本节目涉及到的是越来越严重的记忆危机。片中一系列的测试将对现场和电视观众记忆力的强弱进行评估，然后由教授们对提高记忆力的技术进行说明，最后我们将有机会测试是否自己的记忆力得到了提高！,,,,,,,,,,,,,
人类宇宙 主持人版,342000,4377,18000,1002,2704,宇宙,9.8,116,已完结, 全5集,0,27,简介：这是关于人类的故事，通过提出我们有史以来最大疑问的方式娓娓道来。我们位于宇宙的哪里？我们和我们所在星球的命运如何？人类大脑是如何产生的呢，为何会有意识？我们寻找外星生命的尝试是否会成功，抑或我们是唯一的存在？一切答案尽在这部具有里程碑意义的系列片中，它将提供关于人类生命的全新视角。采用高超的专业摄影技术在全球各个方位所获取图像并结合创新性的计算机成像技术，我们将探索宇宙的终极奇迹——人类。,,,,,,,,,,,,
轨道上：卫星是如何统治世界的,39000,166,3429,98,240,人文社会科技宇宙,暂无评分,评分人数不足,已完结，共1集,0,3,简介：卫星在现代生活中发挥的作用，比很多人想象中的都大。这些科技之杰作是太空项目中最伟大的产品，而且已经改变了我们的世界。它们不仅能提供日常服务，如卫星电视，GPS，计时和天气测定等；还有助于发现失落的城市、保护濒危物种、在战争中夺人性命，以及自然灾害救援等。目前，围绕我们地球转动的有500多颗活动卫星，更不用说那些已被废弃的了；而我们认为它们都是理所应当的。在这部引人入胜而通俗易懂的纪录片中，太空科学家玛姬·艾德林-波考克博士打算改变这种现状，他们讲述的故事将从最早的卫星起源，直到今天的高度复杂化的太空飞船。本...,,,,,,,,,,,,,
超级工厂特辑：2017年圣诞节：圣诞工厂,61000,282,2858,147,1754,科技人文社会,暂无评分,评分人数不足,已完结，共1集,0,6,简介：这一集节目将带领大家去探索节日美食生产厂家里的神奇工序和发展历史。格雷格·华莱士将前往一家年产两百万个圣诞蛋糕的工厂，同时这里还要协助加工15万吨糖霜 – 相当于埃菲尔铁塔重量的20倍 – 用于生产手工饰品。也许你以为对于圣诞精灵们来说这是一项艰巨的任务，但是那些稀奇古怪的生产线却能以令人震撼的速度，批量完成圣诞期间的订单。与此同时，谢里·希利试图亲自吹制出玻璃圣诞饰品，而鲁思·古德曼则会对大家揭秘查尔斯·狄更斯的《圣诞颂歌》背后的神秘历史。,,,,,,,,,,,,,
人体奥秘,1449000,25000,95000,4154,9956,人文科技社会,9.7,204,已完结, 全4集,0,53,简介：你是在这星球上呼吸的最迷人的生物。原因就在你的皮肤之下。深藏在你体内的是一个神奇的动态世界，大片的细胞森林捕捉光信号，在这里细微的运动会产生强烈的电子风暴，汹涌的血流涌入大脑。这是探索地球最复杂的生物的神奇之旅。我们从揭开创造一个新生命需要什么，到每分钟你的身体正做着一百万件不同的事来让你活下去，再到你的大脑如何从几个细胞长成有数千亿细胞，讲述了人体不可思议的奥秘。展示了世界上最伟大的生物学奇迹之一。,,,,,,,,,,,,
詹姆斯·梅的太空边缘之旅,109000,577,5247,660,3214,科技宇宙,暂无评分,评分人数不足,已完结，共1集,0,23,简介：太空爱好者詹姆斯·梅乘坐20世纪最具代表性的飞机之一——U2间谍侦察机飞到了地球的边缘。这种飞机是冷战时期的产物，设计目的是为了侦查美国敌对方的的导弹、雷达和战斗机等，自1960年起开始服役。本片将追随詹姆斯在空军部队进行的为期三天的紧张训练而展开。在他与飞行员交谈的同时，探究了该飞机的历史，并做好准备起飞。詹姆斯以大型喷气式客机般的高度在空中巡游了两次，观察了太空黑色边缘的地球曲率，他所看到的太空景象已经尽可能地接近宇航员的视野。,,,,,,,,,,,,,
詹姆斯·梅的月球之旅,58000,342,2651,293,2214,科技宇宙,暂无评分,评分人数不足,已完结，共1集,0,10,简介：詹姆斯·梅是《最高挡》节目的一位孩子气的主持人，也是个太空爱好者，他梦想成为一名宇航员。人类的太空之旅和著名的登月行动中的工程设计都令他着迷。现在，詹姆斯穿上了他自己的太空服，开始了一场令人神魂颠倒的旅程，去探索那些登月英雄背后的故事。詹姆斯以其招牌式的幽默，描绘了太空之旅的进展过程——从火箭之父罗伯特·戈达德，直到那些亲自在月亮上行走过的人的故事。,,,,,,,,,,,,,
乔安娜·林莉的丝路探险之旅,231000,1426,29000,275,2180,人文旅行社会,暂无评分,评分人数不足,已完结, 全4集,0,5,简介：乔安娜·林莉进入丝绸之路，开始了一段重要但充满挑战的旅程。这条具有变革性意义的高速公路将丝绸、火药、纸张、意大利面等商品售往西方。乔安娜从丝绸之路最著名的旅行者马可·波罗的出生地——威尼斯出发，途径阿尔巴尼亚、土耳其、格鲁吉亚、阿塞拜疆、伊朗、乌兹别克斯坦和吉尔吉斯斯坦，领略这些城市的美丽风光。她探访了土耳其充满梦幻色彩的卡帕多西亚，阿塞拜疆的撒马尔罕以及伊朗的古老城市伊斯法罕和设拉子。乔安娜一路上遇拜访了纺纱工人、托钵僧和吉尔吉斯斯坦天山山脉的猎鹰人。这是一段精彩的冒险之旅，将呈现数个极少在银幕上露...,,,,,,,,,,,,
约翰·毕肖普对话... 第四季,22000,9,1108,252,169,人文社会,暂无评分,评分人数不足,已完结, 全10集,0,0,简介：约翰·毕肖普再次回归，对舞台和银幕明星进行采访。在这些令人深思的对话中，嘉宾以前所未有的深度探讨相关的话题，用热情和洞察力分享他们的生活。在本次访谈中，约翰见到了奥斯卡金像奖获得者小古巴·古丁、获得劳伦斯·奥利弗奖提名的流行歌手威尔·扬、明星鲁思·琼斯以及全球娱乐界的众多名人。这部纪录片讲述有趣的轶事，分享个人的启示。这是一个你不常见到的谈话节目。,,,,,,,,,,,,
袋鼠爸爸,26000,474,800,260,2991,动物自然,暂无评分,评分人数不足,已完结, 全6集,0,4,简介：这是长达1700英里的澳大利亚斯图亚特高速公路上常见的一幕：在这条穿过澳大利亚内地的高速公路上，一只母袋鼠已经死亡了，在袋囊中，它的宝宝们还活着。布罗尔加是一个地道的澳大利亚内地汉子，他决定救助小袋鼠。本片跟踪记录了布罗尔加和他的志愿者团队救助小袋鼠并最终放它们回归自然的故事，其中充满了对小袋鼠们的关爱和各种惊喜，故事情节时而令人心痛，时而又令人鼓舞。《袋鼠爸爸》以独特的视角展现了这种地球上最富魅力而又不同寻常的动物的奇怪而有趣的生活习性。,,,,,,,,,,,,
勿忘你终有一死,996000,5379,54000,3352,11000,人文医疗社会,9.7,182,已完结，共1集,2,60,简介：这是一部有关死亡与新生的纪录片，围绕器官移植展现了多个相互交织的生死故事，其中既有永别的不舍与痛苦，也有获得第二次人生机会的喜悦。诚如拉丁古语的告诫：勿忘你终有一死，正是在不可逃脱的死亡面前，我们才能最真切地感受到生命的可贵。,,,,,,,,,,,,,
爱与恨的犯罪 第1季,83000,1421,5731,261,1757,人文社会罪案,暂无评分,评分人数不足,已完结, 全3集,0,3,简介：这部纪录片以电影的形式呈现，讲述了3起毁灭性的仇恨犯罪案件，揭示了在美国作为一个与众不同的人有多危险。在密西西比州，年轻漂亮的双性人梅赛德斯·威廉姆森被她的黑帮男友乔西杀害。随着乔西被判终身监禁，一系列访谈内容揭示了他和梅赛德斯真正的关系。北卡罗来纳州发生了一起同性恋仇恨犯罪，一座被怀疑的教堂和密西西比州的一起种族谋杀案件将一个社区一分为二。纪录片通过对警察、检察官和罪犯的访谈，以及法庭证词和警察拍摄的影片，揭示了反映出情感扭曲和令人意外的犯罪故事。,,,,,,,,,,,,
曼彻斯特爆炸案 我们的故事,45000,133,1087,96,1774,社会灾难,暂无评分,评分人数不足,已完结，共1集,0,3,简介：2017年5月22日，爱莉安娜·格兰德在英国曼彻斯特举行音乐会；音乐会现场发生了英国自7?7伦敦恐怖事件以来最严重的恐怖袭击。14000名粉丝中，大部分是年轻女孩，她们在当晚的演唱会现场享受着快乐和自由。22人在袭击中被杀害，超过250人受伤，无数人受到影响。这部观察类纪录片采访了直击现场的11-20岁的年轻女性，很多人是第一次谈到这次经历。摄制组在袭击事件发生后的几个月跟踪拍摄其中的3名女性，揭示了她们一直存在的心灵创伤和被永远改变的生活。纪录片用这些女性的语言真实还原，分享了在一场举国震惊的悲剧发生之后，她们对人生的独特见解。,,,,,,,,,,,,,
微小不列颠,29000,196,1620,92,1567,自然,暂无评分,评分人数不足,已完结，共1集,0,2,简介：在这部趣味盎然、场面壮观的影片中，乔治·麦嘉文将以一种全新的方式展示英国乡间的秘密。通过使用最先进的便携式显微照相机，乔治将把我们带入一个我们的肉眼无法看到的陌生世界，并向我们展示英国如何在微观水平上运转。我们将跟随乔治来到7个典型的英国风景中，发现我们眼睛看不到的景象。从构成英国标志性悬崖的微小化石到为英国的野花草甸授粉的蜜蜂；从覆盖苏格兰高地的脆弱雪花，到为英格兰林地提供养分的肥沃土壤，乔治以壮观的细节展示了英国地貌中发生的情况。,,,,,,,,,,,,,
我和动物的生活,16000,13,482,31,1431,动物自然,暂无评分,评分人数不足,已完结，共1集,0,0,简介：有多少人曾经和游隼一起进行花样跳伞、潜入深海遭遇巨大的汉波德章鱼或者跟随迁徙动物来到世界的尽头？野生动物节目主持人史蒂夫·伦纳德做到了。对野生动物的热爱引领着他走近地球上最具有活力、最令人难以置信的动物。这是再现他那激动人心、感人的极致体验的绝好机会，并能听他亲自讲述幕后故事。,,,,,,,,,,,,,
自然世界：蜜獾-毁坏大师,301000,4115,9180,1144,3284,动物自然,暂无评分,评分人数不足,已完结，共1集,0,24,简介：根据书中描述，蜜獾是地球上最无畏的动物。尽管只有一英尺高，它们敢于对任何事物发动进攻——对手的范围从毒蛇到成年的狮子。在南非，一个充满激情的科学家、一个坚韧的养蜂人和一个耐心的环保主义者都对这种被称为“坏家伙”的动物王国成员心存畏惧，他们都想知道被蜜罐的杀伤力是不是和它的体型一样大。,,,,,,,,,,,,,
自然世界：莉莉-一头熊的生活,23000,92,549,46,1755,动物自然,暂无评分,评分人数不足,已完结，共1集,0,0,简介：莉莉是一头八岁的野生雌性黑熊，生活在美国明尼苏达州北部的森林中。它自出生以来就被研究学者追踪，它的生活轨迹被记录成了影片，并通过网络分享给了全世界的人们。但它的成名也是有代价的。它成了人们激烈争论的焦点，尽管它有着成千上万的粉丝，有些人却想杀死它。影片讲述了它的生活经历，阐述了她为何能成为一头有人悬赏的熊。,,,,,,,,,,,,,
自然世界：侏儒河马的秘密生活,52000,251,1445,78,1718,动物自然,暂无评分,评分人数不足,已完结，共1集,0,1,简介：侏儒河马是自然界最后的大谜团之一，它们独居、隐秘而且极难找到。科学家对于这种濒危动物几乎一无所知，也不了解它们需要什么才能在野外生存。现在，有位年轻的澳大利亚生态学家，叶伟岩，正在执行一次“不可能完成的任务”。他去偏远的西非雨林里探索侏儒河马生活的秘密，试图解开这种生物的谜团，并希望获得能挽救它们生机的更多知识。,,,,,,,,,,,,,
企鹅邮局,253000,2373,15000,996,3272,动物自然,暂无评分,评分人数不足,已完结，共1集,0,21,简介：在南极洲的一座小岛上有个邮局，位于一片美得令人惊艳的风景中，周围有4000只巴布亚企鹅。每年夏天，会有成百上千的旅游者前来观看企鹅并投递明信片，而这些鸟类则会匆忙求偶、繁育后代。这种非凡的情景将会持续四个月，从第一只企鹅跳上陆地开始，一直延续到冬天最后一只企鹅离开、邮局关门为止。,,,,,,,,,,,,,
改变我生活的一天,319000,666,37000,665,4110,社会,暂无评分,评分人数不足,已完结, 全5集,0,3,简介：无论你是谁，无论你正在经历什么，得到结果是改变人生的大事。《改变我生活的一天》将跟踪拍摄面临特殊情况的普通家庭和普通人。从复杂的手术到升职，从签一份大合同到领养孩子，故事与可能影响我们的事件息息相关。在大日子到来前的几周，摄像机寸步不离地记录下每个细节。当结果最终到来，此时是该庆祝还是该给予安慰？起起落落的故事进展让观众真实体会现实生活中的戏剧性变化。,,,,,,,,,,,,
云中实验室行动：天空的秘密,28000,178,1923,137,1871,自然科技,暂无评分,评分人数不足,已完结, 全2集,0,0,简介：一群科学家、飞行员和做空中造型动作的跳伞运动员乘坐一只巨大的飞艇——云中实验室穿越北美洲，以探索我们知道得最少的地球大气层的秘密。他们飞越弗罗里达沼泽、墨西哥湾沿岸、亚利桑那州广袤的沙漠和壮观的加利福尼亚海岸，遭遇了最壮观的地球大气状况。这次探索至关重要——更好地了解大气能帮助人们预测自然灾害、提高农作物产量并保护野生动物。但他们处处面临着真实的危险……,,,,,,,,,,,,
猩猩的日记 第一季,26000,148,933,58,1301,动物自然,暂无评分,评分人数不足,已完结, 全3集,0,0,简介：这部纪录片将给观众带来强烈的情感触动。摄制组前往婆罗洲中部的猩猩丛林医院，记录一场为拯救可爱的猩猩孤儿展开的生死搏斗。主持人和摄制组在最大的猩猩康复中心逗留一个星期。在这段感人、鼓舞人心、令人震撼的时间里，他们在全球最偏远的地区之一近距离观察大猩猩最可爱的一面。他们见证了成功和失败，人们帮助猩猩迈出试探性的一步，尝试在野外独立生活。同时，他们还将加入危险的营救任务，和反偷猎巡逻队一起跟踪线索，追踪那些可能被非法交易的猩猩孤儿。在这些关于人类奉献的故事中，我们将看到可爱的动物孤儿，令人心碎的动物困境和...,,,,,,,,,,,,
猩猩的日记 第二季,20000,101,933,166,1262,动物自然,暂无评分,评分人数不足,已完结, 全5集,0,1,简介：一支由兽医和护工组成的特殊小组深入婆罗洲雨林的腹地，接受一个令人激动的艰巨任务：营救和治疗丛林中最有魅力和最脆弱的动物们。他们营救的部分猩猩面临着艰难的处境：它们周围的雨林被不断烧毁，为了生存，它们不得不竭尽全力；它们还要躲避捕猎者的追捕，逃避被作为宠物出售的命运。摄影组跟随特殊小组前往婆罗洲红毛猩猩生存基地，拍摄猩猩们的生活。组员们把脆弱的新成员们带到基地，治愈它们在身体和心灵上的创伤，再把它们放回野外。这是一次跌宕起伏又令人兴奋的探险，带领我们了解护理人的生活，探访猩猩孤儿院的这些宝贝们。,,,,,,,,,,,,
智能手机-黑暗的一面,411000,966,26000,2156,2740,科技社会人文,9,109,已完结，共1集,0,40,简介：硅谷的资深知情人将透露社媒APP有哪些精心安排的设计，使数十亿用户对他们的手机着迷。Facebook的创始团队将向《全景》介绍“上瘾密码”如何促使用户不停地点击按钮和滚动屏幕，就像赌徒按下老虎机的按钮。如今，儿童有1/3的时间都在使用手机。节目将揭示科技带来的巨大的公共健康问题，它破坏了人们互动的基础。影片分别在美国的硅谷、拉斯维加斯以及英国拍摄。,,,,,,,,,,,,,
完美鲨鱼,51000,168,1750,49,1690,动物自然,暂无评分,评分人数不足,已完结，共1集,0,2,简介：是否真的存在完美鲨鱼？鲨鱼已进化4亿年，那么这些令人敬畏的生物是否已达到完美的状态呢？知名的水下野生生物摄影师和鲨鱼爱好者迈克·德格鲁将近距离地探望史上最伟大的鲨鱼。为了寻找完美鲨鱼，迈克深入海洋；同时，他在一家水族馆用最新的CGI技术再现了这种超级杀戮机器，并且在海底经历了真正的噩梦。但它们中是否真的有完美鲨鱼呢？是否真的有鲨鱼成功进化到完美的状态？它是否拥有比同类更出色的背鳍和尾鳍呢？,,,,,,,,,,,,,
菲尔·斯宾塞的豪宅 第二季,592000,4034,46000,1393,6027,人文社会,暂无评分,评分人数不足,已完结, 全4集,0,5,简介：房产专家菲尔·斯宾塞再次回归，带领观众参观英国最奢华的豪宅。这是一部关于豪宅的纪录片，菲尔将在片中揭示英国4座最优秀的乡村住宅背后的人类故事，以及维护这些房子需要耗费的巨大财力和人力。在威尔特郡的乡村，菲尔来到朗利特，这是一座富丽堂皇的住宅，也是一座野生动物园，当初建造它是为了取悦女王伊丽莎白一世。菲尔还探访了由英国首位首相建造的奢华大厅、温斯顿·丘吉尔的出生地布莱尼姆宫以及如防御工事般的华丽古宅贝尔沃城堡。,,,,,,,,,,,,
北极熊:冰上侦探,151000,4179,6260,757,2450,动物自然,暂无评分,评分人数不足,已完结, 全2集,0,21,简介：许多人认为，北极熊是世界上最有魅力和最神秘的熊类。该节目将拍摄地点设在了北极的斯瓦尔巴特群岛和挪威，借助冰球摄像机、雪花摄像机和雪球摄像机等设备对世界上最大的陆地食肉动物进行了近距离的观察。它们拍摄了两窝走出母熊洞穴的幼熊，并抓拍了春季到来、冰面融化的情景。一只母熊和其幼崽们穿过浮冰寻找海豹，另外一窝熊却独自呆在岛上，仅有少量食物供给。通过镜头我们可以看到北极熊将如何迎接不同命运的挑战。本片记录了北极熊生活的隐秘一面，向观众展示了它们如何利用自己的好奇心和智慧应对冰面不断融化带来的挑战。,,,,,,,,,,,,
寻找霍比特人,543000,1755,46000,2886,5687,人文,暂无评分,评分人数不足,已完结, 全5集,0,7,简介：《霍比特人》和《指环王》我们耳熟能详，今天我们来探索托尔金的内心世界以及那些启发他的传说。约翰·豪是托尔金小说的著名插图画家，也是彼得·杰克逊电影的概念艺术家。他决定要去寻找更多有关这些传说的线索，并深入了解这些传说的诞生地。从神秘的布罗塞利安德森林到新西兰工作室的布景，《寻找霍比特人》系列纪录片带我们进入了一个无法想象的世界，开启我们的探索旅程。,,,,,,,,,,,,
