电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
夺命隧道,40000,48,655,21,2689,惊悚灾难,暂无评分,评分人数不足,105,0,6,简介：挪威是个拥有大量公路隧道的国家，但是由于隧道建设时缺少应急规划和救灾避难设施，隧道内的火灾往往是致命的。斯坦好不容易在圣诞节前一天请了假，打算与女儿和女伴一起渡个假，但伊莉斯却因为满心都是去世的母亲，跟斯坦大吵一架，坐上了去奥斯陆的长途大巴。可就在伊莉斯坐的大巴驶入隧道后不久，大巴前面行驶的油罐车出事故导致隧道里的交通都堵塞住了，恶劣的天气让所有救援都不能及时赶到。最终，虽然这场事故造成了极大的伤亡，但在救援队员拼死的行动下，还是挽救了一些宝贵的生命，而斯坦新组建的家庭也因这次生死经历而凝聚在了一起。,
知音,26000,80,527,31,2684,爱情剧情历史,暂无评分,评分人数不足,110,0,0,简介：辛亥年间，日本逼袁世凯（英若诚 饰）签订卖国“二十一”条，袁世凯不顾国人反对，屈从签约。由此引发全国抗日风潮，袁派兵血腥镇压。云南起义将领蔡锷（王心刚 饰）目睹袁世凯倒行逆施，准备进行讨袁起义。名妓小凤仙（张瑜 饰）倾心蔡锷威名，却始终走不进蔡锷内心。一曲“高山流水”琴曲，终吐自己凄惨身世和除贼心愿，彼此览对方为知音。起义前夕，小凤仙为掩护蔡锷不幸入狱。蔡锷在云南打响讨袁第一枪，各省联袂而起，窃国大盗袁世凯郁病而亡，随着讨袁护国战事结束，劳尽心力的蔡锷也客死异乡。正在抚琴的小凤仙望着突然崩断的琴弦，猛然...,
牛郎寻织女,14000,8,188,12,2400,剧情,暂无评分,评分人数不足,45,0,0,简介：七月七，牛郎携一双儿女到天河与织女相会。突然一不明飞行物（飞碟）冲断鹊桥，织女失足坠向人见。飞碟将织女吸入飞碟，降落在长城脚下。织女逃出，随外星人假扮的牛郎而去。牛郎在仙人指点下来到长城，遇到热心的导游女。因为外星人作怪，二人四处不见织女踪迹。牛郎挂念孩子，返回天庭。假牛郎在四大金刚面前露出马脚。织女知道受骗，急反天庭。途中，遇到一架飞机遇难，织女舍身相救，巧遇女导游，得知牛郎下落。彩云间牛郎织女,
鼓书艺人,20000,49,716,35,3003,剧情,暂无评分,评分人数不足,108,0,0,简介：方宝庆（李雪健 饰）是一位唱大鼓书的艺人，一人养活一家五口，生活过得十分艰辛。宝庆买来的小女儿秀莲跟着宝庆学习大鼓书，两人之间感情十分深厚。日军来袭，宝庆拖家带口逃亡重庆，偶遇了同道旧友唐少爷，两人一拍即合，决心办一个名为“升平”的书场，生意兴隆。春风得意的宝庆想办一间教授大鼓书的学校，哪知道就在这个节骨眼上，日军的轰炸机将他的梦想炸得粉碎。宝庆偶然结识了作家孟良，请他来家里教秀莲识字，在孟良的建议下，宝庆将秀莲送往学校念书，秀莲却因为出身不好而在学堂里饱受欺凌。宝庆的胞兄死了，秀莲被奸人糟蹋，嫁出去...,
诸葛亮吊孝,29000,24,512,84,2952,,暂无评分,评分人数不足,104,0,7,简介：越调剧。三国时，孙权与刘备结盟，共抗曹操。刘备借东吴之地荆州养息兵马，周瑜深以为患，特派鲁肃前往蜀国讨还荆州。鲁肃空手而回，说刘备请示再宽限几载，待夺取西川后一定归还。周瑜大怒，遂定一计，亲率五万人马，直奔荆州，名义上是帮刘备夺取西川，实想暗袭荆州，生擒刘备、诸葛亮。诸葛亮识破周瑜诡计，决定先礼后兵。当周瑜率兵来到荆州城外时，汉军列队相迎，诸葛亮亲向周瑜敬酒。周瑜掷酒杯于地，命手下兵将捉拿诸葛亮。诸葛亮晓以联盟抗曹的大义，奉劝周瑜速速退兵。周瑜不听，命吴军围困荆州。两军在城外展开激战，周瑜大败，退至...,
伤逝,20000,19,959,42,2642,爱情剧情,暂无评分,评分人数不足,97,0,0,简介：追求个性解放的子君（林盈 饰）闯入了涓生（王心刚 饰）的生活，他们无视旁人的冷嘲热讽，毅然结合到一起。但在黑暗的封建社会里，幸福总是短暂的。婚前双方相互了解的缺乏，加上性格的不同，导致二人摩擦不断。涓生失业后，对曾经的盲目、天真充满悔恨，子君发现了涓生内心的变化，知道这段荒唐的婚姻该结束了。爱情的幻灭，让子君走向了死亡。子君的死，把涓生推向强烈的自责和痛苦之中，他谴责自己的无能和怯懦，受过“五四”运动洗礼的涓生陷入沉思。他逐渐明白这个世界不是自己所能改变的，但他又不甘沉沦，整日里苦思冥想，人生的出路到底...,
北国红豆,12000,--,275,14,2108,剧情,暂无评分,评分人数不足,95,0,1,简介：农村姑娘鲁雪枝远离家乡，投奔到大兴安岭的姐姐家落户。她经过刻苦学习，于林业中学毕业后，即开始了伐木工的生涯。茫茫林海，野兽出没，伐木劳动十分艰苦。但倔犟的鲁雪枝 却爱上了这里的—切，并被选为青年突击手。在劳动中，雪枝与纯朴的伐木工房根柱相爱，但姐夫陆民子却极力反对，横加阻拦。姐夫想把她嫁给一个有权势的民政干部，雪枝坚决不从。从此，雪枝遇到工作不给转正， 结婚不开证明等种种刁难..,
月牙儿,27000,157,849,43,2858,剧情,暂无评分,评分人数不足,87,0,0,简介：故事发生在民国初年的北京。韩月容（宋丹丹 饰）幼年丧父，母亲（斯琴高娃 饰）改嫁崔五（孙本厚 饰），崔视月容已出，供她上学念书，不成想崔五意外去世，月容母女重新陷入窘境。为生活所逼迫，母亲做了令人不耻的暗娼，月容觉得抬不起头来，离家住进学校。不久高小毕业，因找不到工作发愁，已有家室的高俊生（廖京生 饰）贪恋月容年轻貌美，为其提供食宿，月容心存感激，只有以身相许。高的妻子孟淑娴（原利 饰）发现丈夫包养女人，几番打探找上门来，月容才清醒过来，了解到自己不过是高俊生的玩物而已。失去生活来源的月容去饭馆当女招待，...,
边城,38000,222,2358,166,3106,剧情,暂无评分,评分人数不足,95,0,8,简介：本片根据沈从文同名小说改编。故事发生在民国初年，在湘西边境的一个小山城里，有一个老船夫（冯汉元 饰），守着一条渡船，帮来往的人渡河。他与外孙女翠翠（戴呐 饰）相依为命，17年前，翠翠的母亲与一名屯戍军士未婚生子，后来二人双双殉情。老船夫不想翠翠重蹈覆辙，一心希望把翠翠托付给一个可靠的人。茶峒城里的船总顺顺有两个儿子——大佬天保（刘魁 饰）和二佬傩送（石磊 饰）。他们同时爱上了翠翠，而翠翠爱的是二佬，三年前的端午节夜晚，翠翠偶然邂逅了二佬，感情的种子就在那时悄悄埋下。后来，兄弟俩决定用唱情歌的方式，让翠翠选...,
归宿,15000,11,362,14,2120,剧情,暂无评分,评分人数不足,,0,0,简介： 1949年，乡村教师杨志和（许还山 饰）抛下妻子杨秀梅（陶玉玲 饰）和年幼的女儿，被抓丁去了台湾。在途中，他与同时被抓的常老乐（赵汝平饰）、高占魁（邱英三 饰）、李牛孩（谭天谦 饰）结拜为兄弟。数年过后，李牛孩、高占魁相继去世，杨志和携带二人骨灰，踏上漫漫回乡之路。途中巧遇常老乐的儿媳李扬（陶玉玲 饰），更令其思念多年未见的妻女。原来他被抓丁后不久，秀梅带女儿参加了游击队，如今秀梅已经是机械厂的副厂长，他巧遇的李扬正是自己的亲生女儿。杨志和见妻心切，无奈当时的政策不允许，他决定既刻离境，在轮船起锚的一瞬间，...,
他们在相爱,14000,27,370,13,2068,剧情,暂无评分,评分人数不足,90,0,1,简介：祸国殃民的十年动乱，改变了千千万万中国人的命运。文化大革命结束后，社会逐渐步入正轨，油头粉面的小青年陈平开着车和女友张朗在大街上飞驰，浪荡不羁。他是革命老干部陈浩的三儿子，陈浩在动乱中受到冲击，饱受折磨。包括陈平在内，他的两个哥哥也都遭到株连。大哥陈战是一名专心钻研业务的医生，运动中被打成反革命发送边疆；二哥陈楠被打成了残废，至今只能拄着双拐行走，却依然坚持英语的学习。两个哥哥在运动中牺牲了他们的爱情，当一切步入正规之后，他们的感情生活也悄然有了起色。另一方面，只懂得享受的陈平则遭遇了感情挫折。,
许茂和他的女儿们,21000,127,662,26,2194,剧情,暂无评分,评分人数不足,100,0,5,简介： 早年丧妻的许茂（李纬 饰）生养了九个女儿。大女儿在文革中含冤离世。大队副书记郑百如（张连文 饰）强行与四姑娘秀云（李秀明 饰）结合，后离婚。后来秀云因拒绝三姑娘（张金玲 饰）为其说妥的婚事而引起父亲和众姐妹不满，其原因是她非常同情大姐夫金东水（杨在葆 饰）的遭遇。县里工作组进村搞整顿，郑百如趁机夜闯秀云小屋被赶走，郑脑羞成怒，散布秀云与金东水的流言蜚语，逼秀云投河自尽，幸而被救。经调查，工作组停了郑百如的职，恢复了金东水的工作，许老汉和众姐妹也终于理解了秀云的苦衷。1976年初，全国掀起了“反击右倾翻案风”...,
生命的守护：急救故事,124000,556,3100,280,4576,人文社会医疗,暂无评分,评分人数不足,已完结, 全4集,0,5,简介：急性病有着发病快、治疗难度大等特点，往往能在很短的时间内致人死命，虽然并不一定是绝症，但很多时候等到上了手术台就已经错过了最佳的治疗时间，对于这些疾病，预防和第一时间的抢救就至关重要。本片将讲述与“死神”赛跑的故事。,
破晓时分,21000,26,703,19,2384,惊悚剧情悬疑,暂无评分,评分人数不足,99,0,1,简介： 娜奥米·沃茨将主演，并担任制片心理惊悚片[狼的时刻](The Wolf Hour，暂译)。影片由阿利斯泰尔·班克斯·格里芬执导，现独自生活的女主角曾是一名著名的反文化人士，在1977年“山姆的夏天”事件中，她几乎与外界隔绝。当她更甚陷入孤立时，一个看不见的折磨者开始利用着她的弱点。,
这个年纪还能当大侠吗,34000,27,26000,105,1604,搞笑日常泡面,暂无评分,评分人数不足,,无,无,简介：现代的老白（飞剑侠）离开了大城市后，和燕子（燕山雪）一起回到了家乡长安生活。他们为曾经的侠客梦想一边努力经营着长安超市，一边遇到了小区邻居阿猛、阿魂、龙仔、小蛮、龙叔、幽幽、小武，这群积极面对生活的小区邻居之间又会发生什么搞笑故事呢？,
风流戏王,7855,6,92,4,73,,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：顺治年间，清朝天下初定，民心不稳，改朝换代的阵痛仍在延续。为戏痴迷的李渔，两耳不闻窗外事，潜心舞台，凭其卓越的才情，“戏名”深入民心，远近闻名。到江南寻访昔日名妓李香君的洪承畴因为李渔借戏曲讥讽于他，怀恨在心，欲对李渔不利。他费尽心机，要让李渔身败名裂，背上千古骂名，让作为“文人”的李渔永世不能翻身。冥顽不化的前明官员吴湘因认为李渔是《金瓶梅》的作者，认为大明的灭亡正是因为《金瓶梅》教坏了世风民心而导致的，因此苦苦追寻李渔问责。洪承畴乘机怂恿吴湘，给李渔惹来不少麻烦。为寻找不到合适演员而苦恼的李渔，...,
可怜天下父母心,5986,--,27,6,8,,暂无评分,评分人数不足,已完结, 全20集,0,1,简介：本剧貌似根据真人真事改编而成，剧本来自剧中人物夏祖林的日记《可怜天下父母心》，本剧描述了现实中15岁就患脊髓小脑运动变异症，到最后26岁时候开始不能说不能动的夏祖林的前半生所经历，在这段经历中父母的苦心孤诣，还有亲人的陪伴。,
浪漫爱人,4330,2,19,--,41,,暂无评分,评分人数不足,已完结, 全26集,0,0,简介：女人干事业干火了，女人突然遭遇上司的提拔，女人经常上夜班，女人要接待形形色色的倾诉者四个就职于《新表情》杂志社的女编辑，有四个各不相同的丈夫，差不多的年纪，完全不同的性格。随着女人在事业上的发展和忙碌，烦恼与挫折，她们在家庭中与丈夫的关系也开始发生了微妙的变化。家庭中的矛盾纷争迭起，女人的 不安分终于激怒了丈夫，于是，愤怒的丈夫与能干的妻子展开了笑料迭出的家庭"战争"。,
青涩花开终有时,2158,--,11,1,34,,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：张小春是某名牌大学计算机专业的应届毕业生，他富于才华和理想，他与大胖、辉少、小刚刚等同学一同进入了龙腾公司，但被分配在了低幼组，这与张小春的开发梦想游戏的志向产生了很大的矛盾冲突。公司蒙受损失，受到董事长的责难。张小春第一次对自己的才华产生了怀疑。张小春追求的校花童瑶正是童董的女儿，童瑶与张小春的学长、龙腾公司总监于晨是恋人关系，于晨对张小春的行为不满，于是使用了一些不当的手段陷害张小春，使张小春被开除。张小春在童瑶和暗中喜欢他的安娜姐的鼓励下开始自主创业。大胖和小刚刚也被激情推动，都加入到了创业团...,
伤痛,14000,13,52,11,18,,暂无评分,评分人数不足,已完结, 全26集,0,0,简介：原本生活幸福的丁绍峰在一次偶然的相救后与孟小凡相识。孟小凡讲述了自己为给弟弟治病不得不忍受酒店老板萧山死缠烂打的无奈经历，丁绍峰对其产生同情，并不断帮助。频繁的接触使二人渐渐产生了感情。可这段不该发生的婚外情却给他们身边的人带来了痛苦。丁绍峰的妻子安露对此从最初的嫉恨到宽容，神秘医生文书祺四处制造的事端，三人焦头烂额的处理着自己的生活。最终，每个人通过审视和反省自己对待感情、家庭以及责任的态度，明白了爱的真正含义。,
喵喵如此妖娆,281000,278,19000,3200,17000,泡面治愈萌系,9.8,156,连载中, 每周一、周六12:00更新,0,55,简介：由于小沈的被动捡猫技能，千力工作室经常会迎来新的猫猫，虽然大多都能找到领养人，但也有因各种缘由无法送养出去的猫猫。随着工作室收编的猫猫越来越多，人与猫猫产生的矛盾也越来越多，成员们经常要跟猫猫的各种坏习惯作斗争，想办法解决挑食，咬护网，摔杯子，开柜门，吐毛球，挠坏新衣服等等等。该动画是人与猫之间的日常小故事，向观众呈现人猫斗争的众生相。,
午夜谍影,3261,--,31,3,10,,暂无评分,评分人数不足,已完结, 全25集,0,0,简介：“九一八”事变前夕，国民党中央政府真可谓多事之秋。中原大战刚刚平息，日本帝国主义对我东北华北又蠢蠢欲动，各种军事进攻准备正在紧锣密鼓加速进行。两国交战谍先行。一场远东间谍情报战早已悄然打响……日方先施以怀柔策略，招收数名中国军人到日本留学，妄图进行奴化教育。他们各种手段无不用尽，严刑拷打、欺压凌辱、金钱美女、高官厚禄，有的人动摇了，有的人正在接受严峻的考验……,
乡里彩虹城里雨,33000,19,47,6,140,,暂无评分,评分人数不足,已完结, 全66集,0,0,简介：《乡里彩虹城里雨》是一部反映现实题材的电视连续剧。该剧以改革开放涌现的“打工潮”为历史背景，全方位描述青年男女外出务工及其留守在家的孩子、老人的生活，展现当前农村劳动力向城市转移出现的矛盾，揭示新农村建设的紧迫性，也塑造了一群可亲可爱的当代农民群像。,
中国1921 ,13000,39,173,14,63,,暂无评分,评分人数不足,已完结, 全32集,0,0,简介：大型重大革命题材电视剧《中国1921》剧讲述从1918年11月13日中国在第一次世界大战中成为"战胜国"开始，到中共"一大"进入高潮，此后，建党人物走上了不同的人生道路。其中，有不少历史细节都是首次向公众披露。《公元1921》大打明星牌，邀请众多国内一线演员加盟，被称作电视版《建党伟业》。,
中国大案录,27000,25,660,21,142,,暂无评分,评分人数不足,已完结, 全21集,0,0,简介：1996年1月，深圳市公安局接到线报，有一名叫阿深的毒贩将要贩运一批毒品。但时间、地点、路线、数额不详。深圳市公安局非常重视这一线索，在广东省公安厅的统一部署下，成立“9601”专案组，分工协作，经过几个月的跟踪调查，行程几千里，摸清了以在云南边境投资商人王永建为首的一个特大跨国贩毒团伙，这个团伙以合法生意为伪装，进行贩毒勾当，并准备进行一次“大买卖”。99年6月，一个深夜，一个由吉普车和卡车组成的满载“货物”的车队从临近缅甸边境的云南省沧源县出发了，他们的目的地是广州——深圳——香港——世界各地，然而等待他们...,
戚继光之雷峰塔英雄传,7440,6,79,3,39,,暂无评分,评分人数不足,已完结, 全22集,0,1,简介：明嘉靖33年（公元1555年），倭寇猖獗，民不聊生，年少英俊的戚继光，一腔爱国热血，率领其“戚家军”痛击倭寇，手刃倭寇首领，大快民心。一时，“戚家军”威名远扬。戚继光成了朝廷的功臣，百姓口中的圣人，少女眼中的英雄。 不久，戚继光奉旨进京受赏，并等候新的战备调令。当时，朝中大权由奸臣严嵩一人...,
雄起酒家,1209,6,28,--,7,,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：《雄起酒家》是由欧阳奋强导演，赵亮、刘军等主演的电视剧。,
光子英雄传：超神灵主 动态漫,230000,502,4856,858,1764,奇幻热血玄幻搞笑,暂无评分,评分人数不足,连载中,0,10,简介：诸神陨落已久，继承“神祇烙印”的灵能者们退居一隅，普通人们安居乐业，逐渐忘却了那些神明的故事。少年戚歌过着平凡的生活，可他的命运因为一把神秘黑刀而改写，"灭世魔神"路西法竟寄居在他体内，未知的灵能世界逐渐在他面前展开。命运会将他引向何方呢？又或者，这命运能否由他自己来主宰？曾经的“诸神黄昏”到底为何发生，错综的灵能势力里谁才是真的正义？为了掌握自己的命运，戚歌与同伴们一同踏上超越诸神的成长之路……,
快乐兰州,4389,1,126,9,32,,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：《快乐兰州》是由苏一格、庞文龙、由二群导演，王海、王晶等主演的系列方言喜剧，将以甘肃兰州作为故事发生地，并依托不同行业、不同岗位展现不同人物的生活故事，通过幽默诙谐的故事情节以及经典方言对白，表现他们在各自人生坐标上的工作和生活，反映出现代兰州人的生活价值观，让观众尝尽发生在身边的各种不经意的琐事带来的乐趣、感悟人生。 系列剧将通过一个家庭的故事为背景，采用每集一个小故事（对于部分较长的故事情节可以分为上中下集）的方式，尽量利用黑色幽默的方式塑造栩栩如生的人物形象，反映新时代新兰州的新风貌。,
如果历史是一群喵 第九季,526000,3530,3046000,4805,15000,萌系搞笑泡面,暂无评分,评分人数不足,连载中, 每周日 10:00更新,无,无,简介：《如果历史是一群喵》是一部以华夏历史为主线的非严谨萌系动画，作品以风趣幽默的语言对历史事件进行了重新解读，更容易为年轻人记忆和接受。在表达上，作品用现代动画的手法塑造了12只体态丰盈、造型可爱的猫咪，用它们把历史事件演绎成了精彩的历史故事。该剧不但响应了中央关于“弘扬中华优秀传统文化”的号召，还是文化创新和“寓教于乐”的一次新探索和尝试。,
苏禄国王与中国皇帝（下）,26000,60,1006,35,2563,剧情历史战争,暂无评分,评分人数不足,162,0,3,简介：经过连年征伐，一代帝王明成祖朱棣（王心刚 饰）御驾亲征，平定西北，所向披靡。班师回朝途中，朱棣途中否决了锦衣卫指挥使纪纲荡平南洋十五国的建议，决定休养生息，与民为安。他遵从先帝的教诲，打算遣使修好。适逢此前苏禄国王（维克 饰）有意亲自来上邦朝见。与此同时，苏禄国正在修造大船，准备如期出航，谁知部落酋长阿尤布心怀不轨，事事掣肘。国王不为所动，排除万难带着王子向中国前进。历经千难万险，苏禄使团终于抵达中国。只不过世代和好的道路上还有许多的考验，两个一国之君将携手守护那来之不易的友谊与和平……,
苏禄国王与中国皇帝（上）,29000,68,1006,49,2819,剧情战争历史,暂无评分,评分人数不足,162,0,3,简介：经过连年征伐，一代帝王明成祖朱棣（王心刚 饰）御驾亲征，平定西北，所向披靡。班师回朝途中，朱棣途中否决了锦衣卫指挥使纪纲荡平南洋十五国的建议，决定休养生息，与民为安。他遵从先帝的教诲，打算遣使修好。适逢此前苏禄国王（维克 饰）有意亲自来上邦朝见。与此同时，苏禄国正在修造大船，准备如期出航，谁知部落酋长阿尤布心怀不轨，事事掣肘。国王不为所动，排除万难带着王子向中国前进。历经千难万险，苏禄使团终于抵达中国。只不过世代和好的道路上还有许多的考验，两个一国之君将携手守护那来之不易的友谊与和平……,
间谍过家家 粤配版,6692000,18000,11302000,14000,179000,漫画改战斗搞笑日常,9.6,770,连载中, 每周五、六 18:00 更新,2,205,简介：每个人都有不可告人的一面。这是一个世界各国均暗地里进行激烈情报战的时代。奥斯塔尼亚（Ostania）与维斯达利斯（Westalis）的冷战状态已经持续数十年。<黄昏>是维斯达利斯情报局奥斯塔尼亚对策科<WISE>的一名优秀间谍。为调查威胁两国和平的人物——奥斯塔尼亚国家统一党总裁多诺万·德斯蒙，上级给予了他一个绝密任务。任务名为：<枭（Strix）>行动。内容是“一周之内组建家庭，潜入德斯蒙儿子就读的名门学校的联谊会”。于是<黄昏>扮演成精神科医生劳埃德·福杰，开始组建家庭。然而，他找来的女儿阿尼亚是个能读心的超能力者，妻子约尔是个...,
明日方舟：黎明前奏,9329000,123000,1315000,272000,397000,游戏改科幻战斗热血,暂无评分,评分人数不足,连载中, 每周六 00:23更新,无,无,简介：为躲避无规律发生的天灾，大多数泰拉人生活在移动城市中。天灾过后会留下蕴藏巨大能量的源石，这在给予文明飞跃进步的同时，也引发了极具传染性的不治之症——矿石病。致力于解决天灾与矿石病带来的诸多问题，罗德岛积极游走于泰拉的各个角落。同时自称“为感染者争夺基本权利”的整合运动，正在引发前所未闻的大规模暴动……,
明日方舟：黎明前奏 中配版,4392000,40000,1315000,97000,168000,游戏改热血战斗科幻,暂无评分,评分人数不足,连载中, 每周六 00:23更新,无,无,简介：为躲避无规律发生的天灾，大多数泰拉人生活在移动城市中。天灾过后会留下蕴藏巨大能量的源石，这在给予文明飞跃进步的同时，也引发了极具传染性的不治之症——矿石病。致力于解决天灾与矿石病带来的诸多问题，罗德岛积极游走于泰拉的各个角落。同时自称“为感染者争夺基本权利”的整合运动，正在引发前所未闻的大规模暴动……,
梦想改造家 第九季,13941000,60000,1063000,47000,200000,真人秀,9.2,573,连载中,8,167,简介：《梦想改造家》是由东方卫视打造的一档家装改造节目，每一期家庭庭分别代表、折射一部分人群。具体的家庭故事围绕主人公背景、居住烦恼和对梦想中家的憧憬展开。节目突破性地改变传统装修类节目以美化外观为主旨的节目样式，聚焦与住房难题息息相关的家庭故事和人物命运，通过颠覆性空间布局重置，细致入微的人性化设计，把人文情怀贯穿其中，用温暖而光明的故事结尾，激荡彰显出人性的善良。,
不鸭短片之八九不离食,374000,263,2816,1753,28000,日常治愈泡面,暂无评分,评分人数不足,连载中, 每周四 11:00更新,0,16,简介：吃饱喝足最幸福！快来一起感受0.5倍速慢放动漫美食的治愈时刻！不鸭美食短片《八九不离食》是一部记叙不鸭和好朋友啵鸡的快乐干饭日常趣集，有时他们会宅家做几道家常美味，有时他们会外出探索各地特色美味。好好吃饭是每一天的开始，也是发现生活美好与有趣的重要方式。,
天地诗心,156000,569,3642,4395,12000,文化,9.8,130,已完结, 全4集,3,55,简介：每期以总书记在重大场合讲话中引用过的一首诗句为脉络，设置一位青年学习者为主线，引领观众走进跨越千年的一段段时代故事中，融合戏剧、歌舞、多媒体报告剧等艺术手法，辅以AR视觉、CG特效等新媒体技术，在历史再现和现实传承中，用总书记的诗心点亮当代青年人的奋进之心。,
盛夏和她的未婚夫,14000,9,293,16,2286,剧情,暂无评分,评分人数不足,100,0,1,简介： 故事发生在八十年代的北京。几年前，在农村插队的盛夏（肖雄 饰）返城回京，当了一名卖肉的售货员，她把希望寄托在男友柯平（梁同裕 饰）身上，指望他能评上职称，同时她也想通过自学改变未来的前途。她以同寝室好友秦园（徐晓星 饰）为追赶目标，利用一切业余时间补习英语和其它文化课，力争参加高考。临近高考，盛夏发现自己怀孕了，柯平趁机提出结婚要求，而盛夏不想失去高考机会做了流产，俩人为此产生隔膜。因受情绪影响，盛夏高考失败，柯平也离开了她。面对双重精神打击，盛夏咬牙坚持着走向自学成才之路，秦园高考的成功也时刻激励着...,
太监秘史,28000,67,443,28,2422,剧情,暂无评分,评分人数不足,87,0,3,简介：13岁的少年毓泰因家境贫困，“净身”后被送入皇宫。进宫后，师傅哈哈李对他百般虐待。御医王恩顺十分同情毓泰，指点他到南府戏班学戏。聪明的毓泰勤学苦练，武艺高强。慈禧请洋人看戏，留洋归来的五格格在慈禧身边当翻译。这时，戏班即将上场的主角突然病倒，关键时刻，毓泰及时顶上。他精湛的武艺颇受慈禧赏识，随后提拔毓泰为御前知更。钟粹宫里，五格格随着音乐轻快起舞。李莲英故意要使毓泰出丑，怂恿慈禧让毓泰与五格格跳舞。汗流满面的毓泰出尽洋相，但五格格却对他产生好感。善良的王恩顺为了毓泰的前途，私拿御药贿赂李莲英，李莲英嫉...,
都市枪手,14000,4,162,11,2239,剧情,暂无评分,评分人数不足,,0,0,简介： 效力于大陆特警队的阚好婴（史可 饰）是国际射击冠军，这位麻辣警花正气凌然，只不过当年她在弟弟好男6岁那年与之失散，这成为她心头长久以来的隐痛。阴云密布的港府，黑帮头目邝天龙气若游丝，病入膏肓，在最后关头他找来视若己出的侄子邝小川（梁国庆 饰），要他无论如何前往大陆找到警察阚大庸（颜冈 饰），替父亲报仇。小川背负着沉重的使命，勉为其难登上飞机。这一天，好婴接到小川打来的电话，对方控诉阚大庸杀死了姐弟俩的母亲，复仇之火正在燃烧。小川被自己的真实身份搞得错乱不堪，而他即将和姐姐迎来宿命的重逢。,
翡翠麻将,18000,18,414,14,2271,剧情,暂无评分,评分人数不足,86,0,0,简介：在雪雾弥漫的清晨，一辆摩托车载着两个戴头盔的姑娘驶上立交桥。突然，摩托车猛地加速，撞坏桥栏杆，连人带车直坠桥下。这起交通事故，使公安局搁置10年的翡翠麻将案有了新的线索。从死者蓝芸身上发现翡翠麻将的一张么筒，而要求追查这副麻将下落也是蓝芸。刑警队长陈庭接到报告，立即进行调查。陈庭在蓝芸的卧室发现她与一青年男子的合影照。经了解，这个青年叫裴宁，是那辆摩托车的主人。陈庭又去找蓝芸单位的经理，经理介绍说：蓝芸是公司的美术设计，和她一起出事的叫贺尘，两人都爱上了裴宁，为此，蓝芸还打了裴宁两记耳光。陈庭去调查裴...,
李天保娶亲,13000,8,217,45,2538,,暂无评分,评分人数不足,113,0,3,简介：越调,
升官记,18000,25,582,39,2687,喜剧,暂无评分,评分人数不足,117,0,2,简介：明朝时期，一个偶然的案子让郁郁寡欢的玉田知县徐九经（朱世慧 饰）升遣为大理寺正卿，保举人是他昔日认识的并肩王（胡为之 饰）。上任伊始，书僮徐茗（余竞鸣 饰）探得侯府要为刘钰（谭长根 饰）和李倩娘（万琼 饰）完婚，徐九经思虑良久，知其中必有蹊跷，但他还是沉着应对。翌日上门，奉上一坛贺喜老酒，傲慢的侯爷（陈国光 饰）果然没把他放在眼里，徐九经据理力争，与安国侯展开唇枪舌战，眼看侯爷败下阵来，他趁机告退，并索走了带来的老酒。次日，他拜谒并肩王府上，尤妃（彭泽林 饰）热情相待，令九经涕零，趁机求得尚方宝剑。夜审倩娘...,
丹心谱,10000,3,247,8,2127,剧情,暂无评分,评分人数不足,101,0,1,简介： 1975年，北京。方凌轩（郑榕 饰）大半辈子在新华医院从事中医药研究，平日里著书立说，颇有建树。作为人大代表，出席了全国四届人代会，并受到周总理的接见与关怀。会后，他加紧了冠心病新药的研制。女婿庄济生（修宗迪 饰）是四人帮在卫生部的爪牙，他对研制工作百般刁难阻挠，回到家中，方凌轩与庄济生展开面对面交锋，他严厉斥责女婿的极左言行，恼羞成怒的庄济生通过部里四人帮的代言人，疯狂打压一切与研制新药有关的人和事。就在方凌轩感到绝望之机，周总理从医院打来电话鼓励他继续研制，早一天服务于广大患者，这给了方凌轩及同事极大的...,
驼峰上的爱,14000,4,150,9,2178,剧情,暂无评分,评分人数不足,90,0,0,简介：蒙古族牧民苏尼特一家三口生活本来十分美满富裕，但近来夫妇经常吵闹、互不相让。妻子伊里哪善良、美丽，能歌善舞，就是性格有些倔强。苏尼特婚前是个高中毕业生。伊里娜看他纯朴、老实，又是个放牧里手，还十分体贴她，于是，她放弃了投考乌兰牧骑的打算，很快和他结了婚。后来苏尼特有几次看到妻子在舞会上受宠，一种说不清的嫉妒猜疑，使他变得越来越暴躁。他经常借酒浇愁、大发脾气。这一天，他又无端地酗酒、打骂妻子。倔强的伊里娜实在受不了，一气之下骑上马离家出走了。可怜的儿子小吉雅只好留在爸爸身边生活。他们的邻居也是一对高中...,
