电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
巨人捕手杰克,816000,6088,36000,805,13000,剧情奇幻冒险,9.0,288,114,0,69,简介：巨人故事吸引着穷人家青年杰克进城买马，偶然遭遇一名被皇家卫队追捕的僧侣，他更在慌乱中用马换了对方手中的豆荚。公主伊莎贝尔趁乱出走，辗转来到杰克家中避雨。被雨水浸透的豆荚突然发芽疯长将公主带入云端....,
红河谷,132000,2143,9351,821,7507,剧情爱情战争历史,9.8,159,115,0,54,简介：一男子救下了被乡民准备供奉给雨神的女子，两个人一起流落到了一个藏族部落，在这里，他们认识了美丽的藏族公主。后来，英国探险队在雪山遇险，琼斯和罗克曼也被藏民救下，留在西藏修养...,
潜网,31000,21,602,43,3029,,暂无评分,评分人数不足,98,0,2,简介：罗弦是教授的女儿，在体院学习期间，爱上足球运动员陈志平，门第观念很深的罗仲文夫妇看不起出身卑微的陈志平，而要把女儿嫁给老友何方德之子何侃。陈父和陈母则强迫儿子娶一普通女工为妻，性格软弱的陈志平不敢违命。性格倔犟的罗弦…,
剧演的终章,153000,511,27000,275,4469,爱情,暂无评分,评分人数不足,124,0,11,简介：影片根据《日蚀》作家平野启一郎的同名小说改编，以日本、巴黎、纽约为舞台，讲述石田百合子饰演的女记者和福山雅治饰演的古典吉他演奏家之间的纯美爱情。,
锅匠，裁缝，士兵，间谍 ,1694000,5498,76000,2830,13000,惊悚剧情悬疑小说改,9.4,464,127,1,58,简介：冷战时，全球两大特工组织——俄罗斯“中心”与英国“圆场”明争暗斗。特工遇害，高层震怒，责成“圆场”挖出“地鼠”。怀疑对象共有5人，即圆场上任“老总”命名的锅匠，裁缝，士兵，穷人，乞丐。本片本片根据约翰·勒卡雷的同名小说改编,
异星觉醒 ,1159000,3219,32000,408,9598,恐怖科幻惊悚,5.5,317,104,2,51,简介：大卫、米兰达、罗里、秀和休是在同一艘太空船上工作的宇航员们。一次偶然之中，他们在火星上发现了一个尚未成熟的生命体。休将这个生命体带回了实验室，随着生命体的长大，事态的发展开始失去了控制......,
2021 bilibili夏日毕业歌会,35700000,149000,181000,535000,1214000,晚会演唱会,9.8,287,已完结, 全1集,0,32,简介：与歌同行，人生可期，2021年6月20日让我们和王源、火星电台、朴树、许嵩、欧阳娜娜、周深、于贞、小精灵、石玺彤、沙一汀、阿达娃、鱼翅、旅行团、钱正昊、夏日入侵企画相聚B站一起毕业！用奔赴每一刻的勇气，迎接我们的毕业礼！,
2020 bilibili夏日毕业歌会,26261000,217000,181000,309000,961000,晚会演唱会,9.7,147,已完结, 全1集,0,17,简介：以风为琴，以浪做鼓，天空无垠，人生海海。B站夏日毕业歌会来了 ！李宇春、朴树、老狼、毛不易、尤长靖、乃万NINEONE 、逃跑计划、橘子海Orange Ocean等众多实力唱将献唱。海边实景录制，请签收他们送出的一张张“音乐明信片”。,
90婚介所2022,290000000,1298000,1287000,278000,1691000,情感真人秀,8.5,4746,已完结, 全13集,20,1249,简介：《90婚介所2022》是一档聚焦90单身 男女的相亲交友真人秀节目。这季婚介所将空降到全国单身率最高的几座城市，为单身男女创造相亲交友的机会。节目关注当代年轻人真正的脱单难题和价值观念，给予他们更多的自主选择。嘉宾们通过三个阶段：“冲动阶段”、价值阶段”、“角色阶段”的相处多角度了解彼此，从四个维度：“兴趣爱好”、“价值观”、“过去”、“未来”全方位考量。经过这段相处后，双向奔赴的男女生们将一起进入“试恋小屋”进行共同生活。红娘团量身定制相处日记手册，让男女生们参与到对方的社交圈、亲友圈活动中去，真诚呈现和记...,
一级戒备,50000,235,1465,62,3318,动作犯罪惊悚,暂无评分,评分人数不足,108,0,4,简介：彼得·加里森是美国白宫的一名特工，然而彼得万万没有想到的是，有一天他也会成为追捕对象。白宫内部混入了纳粹分子暗杀，大卫和新手马琳负责此案，彼得被认为就是那名预谋暗杀者…,
